POA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA6108,287,543,1367,1261,1177,957,227,14,0,5834,0,6,5,7,3,0,0,0,0,23,0,7,21,15,19,7,0,0,0,72,6,10,38,48,52,45,3,0,0,200,0,0,15,9,5,6,0,0,0,38,0,9,33,36,23,27,5,0,0,141,4,15,35,26,36,24,4,0,0,146,109,107,137,100,110,109,22,0,0,703,105,76,68,47,50,24,3,3,0,384,4,14,35,38,48,29,5,0,0,176,5,3,18,5,3,3,0,0,0,45,0,5,26,38,29,18,4,0,0,123,0,6,20,12,25,12,5,0,0,80,0,16,62,50,43,31,3,0,0,215,0,8,41,42,42,26,9,0,0,168,4,11,54,68,92,67,16,0,0,303,15,46,85,146,166,128,17,3,0,599,16,93,201,208,225,231,39,3,0,1020,6,13,23,27,12,9,0,0,0,87,15,24,46,41,53,28,6,0,0,218
POA6109,106,296,758,692,553,376,98,14,0,2893,0,0,3,3,0,0,0,0,0,10,0,5,13,13,6,0,0,0,0,35,3,5,15,20,14,6,3,0,0,77,0,0,3,0,3,0,0,0,0,9,0,9,15,12,12,4,3,0,0,59,0,7,15,8,14,6,0,0,0,53,38,47,59,51,50,26,10,0,0,270,33,31,29,21,25,11,6,0,0,156,0,4,22,19,16,13,3,0,0,73,3,0,4,3,3,0,0,0,0,11,0,8,20,15,8,3,0,0,0,53,0,4,3,12,4,3,0,0,0,25,3,3,23,17,14,15,3,0,0,78,0,7,23,16,23,13,3,0,0,91,0,3,25,23,35,18,5,0,0,110,0,13,37,34,43,47,5,0,0,188,3,42,93,100,87,88,21,0,0,434,7,9,10,5,3,0,3,0,0,41,3,13,30,27,22,7,3,0,0,100
POA6110,442,911,2510,2426,1965,1295,297,27,4,9878,0,5,14,20,12,5,3,0,0,56,0,4,40,44,21,11,3,0,0,133,11,34,76,99,71,43,8,0,0,338,0,3,13,21,9,9,0,0,0,65,0,20,79,63,48,32,5,0,0,254,0,12,63,46,54,24,3,0,0,213,143,175,221,197,230,123,27,0,0,1119,153,90,128,76,64,43,8,0,0,561,4,33,76,65,71,39,4,0,0,282,7,7,16,12,5,6,0,0,0,47,0,14,79,51,55,18,3,0,0,223,3,21,37,32,22,13,6,0,0,142,9,28,123,109,50,44,14,0,0,369,3,20,81,79,83,48,5,0,0,325,4,27,113,123,123,98,12,0,0,500,18,53,177,271,260,141,27,0,0,953,35,135,445,422,344,301,42,3,0,1724,9,15,25,28,18,12,3,0,0,113,21,34,89,68,66,33,10,0,0,317
POA6111,258,506,1126,1155,1272,1015,274,33,3,5646,0,4,3,6,16,7,7,0,0,51,0,3,19,22,23,6,3,0,0,80,5,10,28,27,44,36,5,0,0,160,0,0,13,8,3,0,0,0,0,23,3,9,40,34,41,26,3,0,0,152,4,3,32,22,21,14,6,0,0,99,113,95,88,107,135,97,20,0,0,658,98,57,50,39,25,28,0,0,0,304,3,20,27,41,36,35,5,0,0,164,7,3,13,9,6,9,0,0,0,46,0,3,25,28,20,18,3,0,0,97,0,7,21,17,21,22,10,0,0,89,7,13,58,52,50,27,7,0,0,203,7,9,38,46,39,29,9,0,0,169,0,13,46,73,86,64,17,0,0,298,12,28,102,148,191,168,25,5,0,676,17,74,189,171,254,238,62,0,0,995,10,12,15,17,16,16,4,0,0,91,9,23,52,46,46,32,11,0,0,212
POA6112,598,1301,4234,3456,2500,1546,349,43,4,14026,0,6,20,19,14,12,6,3,0,78,0,21,91,49,32,17,0,0,0,212,28,39,132,93,114,42,8,0,0,464,0,4,24,30,24,7,0,0,0,97,7,43,123,102,66,37,3,0,0,382,0,30,82,74,78,23,3,0,0,292,216,293,420,306,293,140,32,0,0,1701,234,127,170,104,80,36,10,0,0,766,8,50,135,97,89,54,9,3,0,450,4,13,31,17,8,11,0,0,0,85,3,24,133,79,68,26,4,0,0,334,3,25,77,50,45,23,3,0,0,232,7,44,220,131,79,44,10,0,0,526,9,48,95,94,79,52,5,0,0,389,3,41,211,173,148,123,9,0,0,704,15,83,349,358,322,199,32,0,0,1361,54,221,831,651,510,396,59,0,0,2733,12,28,51,28,18,18,3,0,0,149,24,79,153,87,66,51,15,0,0,478
POA6121,67,82,83,137,253,142,38,13,0,825,3,4,0,4,8,4,4,0,0,31,0,0,3,6,0,0,0,0,0,9,0,3,3,10,14,10,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,3,10,9,15,8,0,0,0,47,0,4,4,4,9,5,0,0,0,23,20,17,3,12,21,7,7,0,0,87,11,10,0,3,4,0,0,0,0,33,0,0,3,9,4,7,0,0,0,18,0,0,0,0,0,3,0,0,0,3,0,0,3,3,4,0,0,0,0,13,0,3,4,4,8,3,0,0,0,25,0,0,4,8,15,4,0,0,0,37,0,4,4,0,13,8,5,0,0,34,0,4,8,17,20,13,0,0,0,60,0,3,11,19,35,14,4,0,0,85,8,14,12,17,30,26,3,0,0,105,4,3,0,0,6,0,0,0,0,12,7,3,6,6,9,0,0,0,0,35
POA6122,215,462,1469,1051,807,472,103,0,3,4582,0,0,0,12,8,5,0,0,0,24,0,5,36,23,16,5,0,0,0,91,7,13,60,38,27,18,0,0,0,168,0,4,6,6,9,3,0,0,0,24,5,20,50,34,18,6,0,0,0,133,0,15,34,22,18,18,0,0,0,98,85,95,160,115,91,42,7,0,0,583,83,46,50,36,31,9,0,0,0,253,0,22,48,28,27,14,0,0,0,134,4,3,14,5,0,3,0,0,0,31,0,8,30,29,28,4,0,0,0,102,3,11,36,18,10,11,4,0,0,95,3,14,64,38,29,15,3,0,0,165,3,13,41,23,29,18,4,0,0,133,0,18,79,53,63,28,5,0,0,251,5,37,117,117,91,50,3,0,0,429,17,88,265,195,145,98,18,0,0,831,6,10,13,22,4,4,0,0,0,58,11,38,65,28,27,23,0,0,0,191
POA6123,26,40,87,72,92,71,18,3,0,415,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,4,3,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,3,3,10,14,10,6,0,0,0,47,0,7,0,0,5,0,0,0,0,19,0,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,0,0,4,3,0,3,0,0,0,14,3,0,0,5,8,3,0,0,0,12,0,0,0,0,3,7,0,0,0,15,0,3,5,8,6,3,3,0,0,28,3,8,12,10,11,13,0,0,0,62,0,3,3,0,3,0,0,0,0,10,3,5,3,5,3,0,0,0,0,18
POA6124,12,20,40,47,92,47,16,0,0,285,0,0,0,4,0,0,0,0,0,11,0,0,0,8,0,0,0,0,0,8,0,0,0,0,11,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,3,4,3,4,3,0,0,0,25,3,3,3,3,3,3,0,0,0,22,0,0,3,0,5,0,0,0,0,12,0,0,0,0,4,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,4,0,9,0,0,0,0,13,0,0,0,0,3,3,0,0,0,8,0,0,0,6,8,10,0,0,0,21,0,4,0,17,12,5,0,0,0,40,0,3,7,5,17,7,0,0,0,43,0,0,3,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,6
POA6125,41,55,104,156,237,151,42,3,0,789,4,3,6,10,16,9,9,4,0,58,0,0,0,0,3,0,0,0,0,5,3,0,0,4,12,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,10,8,9,7,0,0,0,37,0,3,0,5,3,3,0,0,0,16,18,4,7,13,24,12,4,0,0,77,8,0,0,4,3,3,0,0,0,19,0,0,0,3,5,6,0,0,0,28,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,3,0,0,0,9,0,0,0,3,3,6,0,0,0,11,0,0,10,7,7,9,0,0,0,29,0,0,3,4,11,3,0,0,0,23,0,0,5,9,14,15,0,0,0,55,3,6,9,16,31,11,3,0,0,84,0,3,14,16,34,17,0,0,0,88,3,6,5,6,0,0,3,0,0,29,0,10,3,3,3,6,0,0,0,26
POA6126,3,3,8,4,20,20,9,0,0,67,0,0,0,5,3,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,7,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA6147,154,365,1048,864,660,566,155,15,0,3832,0,0,8,5,3,0,0,0,0,17,0,3,20,13,10,4,0,0,0,58,0,11,34,38,26,39,0,0,0,145,0,4,12,10,3,0,0,0,0,26,3,9,27,20,15,15,3,0,0,93,0,8,21,11,19,5,0,0,0,69,47,58,79,58,52,50,15,0,0,362,54,35,62,44,39,13,4,0,0,256,3,5,28,15,16,15,5,0,0,86,7,4,5,3,0,0,3,0,0,20,0,3,31,30,15,15,4,0,0,99,3,0,18,3,8,7,3,0,0,46,0,15,75,39,24,16,3,0,0,174,0,9,31,14,26,25,4,0,0,112,3,12,62,35,35,35,6,0,0,190,3,29,82,77,94,87,16,4,0,381,3,41,146,131,158,131,36,0,0,647,6,7,14,7,4,4,3,0,0,44,5,11,29,22,27,27,6,0,0,123
POA6148,222,392,766,884,1024,680,197,30,0,4196,0,0,0,3,4,0,0,0,0,10,0,8,20,28,15,4,0,0,0,70,10,9,20,23,28,25,7,0,0,124,0,0,4,7,3,0,0,0,0,13,4,9,18,26,22,19,7,0,0,95,0,4,13,15,15,10,0,0,0,61,65,85,69,56,72,46,12,0,0,402,85,51,42,36,33,20,0,0,0,265,0,7,11,10,23,14,3,0,0,71,11,5,3,4,7,3,3,0,0,31,0,11,26,21,21,27,4,0,0,110,6,4,4,20,23,19,5,0,0,84,5,32,73,59,56,41,17,0,0,283,0,4,23,24,28,16,8,0,0,105,4,17,51,60,79,43,9,0,0,254,16,34,73,130,201,148,25,0,0,628,14,61,165,186,215,158,30,0,0,834,12,15,8,7,7,3,3,0,0,58,8,13,25,21,32,23,4,0,0,138
POA6149,229,460,837,921,985,991,291,28,5,4742,0,7,0,8,0,0,0,0,0,17,0,9,18,31,21,6,0,0,0,79,9,5,21,33,28,17,5,0,0,121,0,0,8,9,10,6,0,0,0,34,3,6,20,20,28,20,3,0,0,107,3,3,14,26,14,17,3,0,0,75,86,106,68,54,67,65,22,0,0,464,75,37,33,25,28,27,3,0,0,240,0,9,18,9,21,14,7,0,0,84,3,7,9,9,15,9,0,0,0,50,0,8,17,31,35,32,4,0,0,134,0,9,17,10,22,19,4,0,0,89,3,25,96,76,76,55,15,0,0,341,3,10,18,29,23,27,13,0,0,118,4,4,48,58,73,83,4,0,0,267,13,43,73,154,257,232,31,0,0,806,19,73,138,205,231,218,44,0,0,927,12,9,14,15,10,12,3,0,0,77,6,17,25,31,36,26,3,0,0,143
POA6150,217,372,553,521,625,629,200,18,0,3139,0,3,4,0,5,3,0,0,0,14,0,5,23,13,10,7,0,0,0,54,11,12,13,14,10,13,3,0,0,83,0,0,0,6,7,0,0,0,0,17,0,8,13,12,17,12,3,0,0,63,0,5,8,9,11,8,0,0,0,39,74,78,47,34,50,54,12,0,0,345,70,54,52,22,25,28,0,0,0,248,0,7,10,8,11,11,0,0,0,52,3,3,3,4,4,3,0,0,0,20,0,10,17,13,21,13,4,0,0,84,0,12,9,11,8,10,9,0,0,54,7,34,54,40,65,39,3,0,0,237,0,3,12,10,16,14,3,0,0,62,0,15,33,40,54,48,11,0,0,200,18,34,63,78,166,131,20,3,0,507,4,51,98,113,143,138,30,0,0,573,6,14,7,6,5,12,4,0,0,41,0,7,19,19,18,20,5,0,0,78
POA6151,163,390,1098,928,873,685,302,33,4,4484,0,0,3,4,3,6,0,0,0,20,0,6,44,34,32,13,0,0,0,130,0,10,25,17,18,15,6,0,0,84,0,0,9,10,8,7,0,0,0,29,0,10,24,25,23,19,6,0,0,103,0,5,14,3,16,11,3,0,0,54,51,72,67,44,40,28,11,0,0,316,54,108,89,36,28,13,6,0,0,334,0,3,15,19,15,8,3,0,0,65,0,5,4,4,5,7,0,0,0,36,3,10,42,41,38,25,5,0,0,169,0,13,14,27,20,29,9,0,0,112,4,29,113,93,74,60,19,0,0,379,3,13,35,12,23,26,13,0,0,123,0,9,43,60,67,53,8,0,0,248,7,31,116,135,183,139,38,0,0,649,17,77,202,141,175,149,34,3,0,796,8,14,20,14,14,14,3,0,0,85,0,11,34,25,19,17,7,0,0,115
POA6152,233,694,1734,1236,1098,926,325,35,4,6286,5,0,5,3,10,7,5,0,0,36,0,7,63,59,37,12,0,0,0,177,5,14,31,36,16,27,0,0,0,123,0,0,14,11,10,4,0,0,0,43,4,6,58,37,27,13,4,0,0,148,3,7,15,21,18,19,0,0,0,85,88,137,103,67,73,66,25,0,0,558,103,144,113,42,48,31,4,0,0,480,0,10,29,31,36,19,0,0,0,129,3,0,10,6,20,7,7,0,0,55,0,23,58,54,48,32,4,0,0,217,4,13,34,21,33,31,11,0,0,156,3,57,184,114,93,69,15,3,0,545,5,16,47,30,46,23,10,0,0,184,3,22,103,91,91,72,14,0,0,398,18,71,178,192,223,208,40,0,0,923,23,137,369,199,218,220,37,3,0,1201,23,22,34,20,11,19,7,0,0,135,11,23,58,28,53,24,9,3,0,204
POA6153,213,456,910,1013,1108,879,333,58,3,4965,0,3,3,3,10,3,3,0,0,20,3,9,45,30,31,9,3,0,0,130,5,7,19,22,32,18,5,0,0,110,0,0,6,15,6,4,0,0,0,33,0,11,31,27,39,26,4,0,0,138,0,5,16,22,29,10,15,0,0,101,98,95,57,57,79,65,26,0,0,476,73,76,57,24,30,21,0,0,0,285,3,8,19,21,16,23,0,0,0,84,0,4,7,9,3,8,0,0,0,41,0,12,24,29,39,21,10,0,0,142,3,11,19,25,40,38,17,0,0,148,4,38,104,106,106,79,20,4,0,470,0,15,19,37,31,12,3,0,0,120,0,16,45,69,64,53,8,0,0,263,7,50,114,128,197,161,42,3,0,704,7,83,193,187,209,206,46,5,0,934,11,14,9,12,13,4,3,0,0,74,7,18,23,36,26,15,6,0,0,125
POA6154,139,203,419,565,542,365,113,22,3,2361,0,0,0,3,6,0,0,0,0,5,0,0,15,17,4,3,0,0,0,46,14,4,10,18,17,5,4,0,0,68,0,0,3,6,3,3,0,0,0,16,0,4,10,27,15,8,0,0,0,66,0,3,8,8,11,3,0,0,0,40,43,48,24,32,42,28,7,0,0,230,46,38,29,18,10,12,0,0,0,148,3,0,9,5,10,10,3,0,0,40,0,3,5,6,5,0,4,0,0,28,0,0,14,19,17,3,4,0,0,65,0,3,10,13,15,6,4,0,0,55,0,18,37,57,45,28,3,0,0,184,0,3,9,5,19,9,3,0,0,55,0,4,21,47,40,27,3,0,0,147,11,12,47,83,137,80,15,0,0,386,11,19,65,110,151,88,23,0,0,463,3,11,6,7,8,9,0,0,0,41,3,7,19,10,13,12,3,0,0,76
POA6155,714,1210,2378,3109,3113,1918,537,37,3,13028,3,0,17,27,15,9,8,0,0,69,0,14,55,60,42,12,0,0,0,189,28,28,79,112,108,65,11,0,0,419,0,0,10,27,29,9,0,0,0,85,9,21,77,96,65,42,7,0,0,308,8,25,60,52,76,48,6,0,0,277,267,280,215,228,260,153,31,3,0,1432,293,182,141,121,109,62,6,0,0,916,10,28,56,87,71,59,6,0,0,314,12,23,20,22,17,6,0,0,0,96,4,15,88,109,109,60,9,0,0,387,0,30,33,56,65,40,4,0,0,227,6,60,195,170,172,81,14,0,0,698,8,24,65,109,76,56,10,0,0,347,7,38,116,203,214,145,20,3,0,745,31,105,172,442,582,324,48,0,0,1713,45,218,408,643,600,420,60,0,0,2394,26,27,36,38,30,16,7,0,0,170,19,43,61,111,115,65,11,3,0,415
POA6156,198,312,783,914,988,583,170,33,4,3982,0,0,0,0,0,0,0,0,0,10,0,3,20,28,18,0,0,0,0,76,10,17,22,27,23,11,4,0,0,110,0,0,10,3,7,3,0,0,0,21,0,4,21,36,28,28,8,0,0,114,0,4,22,14,18,16,0,0,0,74,59,90,47,53,61,42,3,4,0,369,81,61,39,25,31,6,3,0,0,254,3,6,24,21,18,15,0,0,0,99,6,3,6,16,4,3,0,0,0,39,0,3,19,33,32,18,3,0,0,111,0,9,19,25,32,13,11,0,0,101,4,25,69,108,85,31,15,3,0,345,4,11,29,24,32,9,0,0,0,109,6,7,40,60,70,37,13,0,0,234,7,34,94,172,234,120,21,3,0,688,16,57,162,161,199,147,28,3,0,764,11,17,11,22,11,9,0,0,0,79,9,16,41,31,35,13,3,0,0,143
POA6157,144,252,667,748,773,505,177,20,8,3289,0,0,3,3,0,0,0,0,0,8,0,0,34,26,9,3,4,0,0,77,10,14,16,25,14,13,0,0,0,95,0,0,13,7,8,4,0,0,0,24,0,5,15,27,15,15,3,0,0,74,3,3,3,16,19,4,0,0,0,52,49,48,53,48,56,36,4,0,0,305,55,46,41,13,22,9,7,0,0,187,0,4,14,22,15,12,6,0,0,75,0,0,12,15,3,0,3,0,0,38,0,4,16,24,22,13,3,0,0,86,0,10,16,13,17,5,0,0,0,68,0,19,52,54,51,37,11,0,0,225,0,10,17,28,23,21,7,0,0,106,0,10,47,56,56,41,6,0,0,216,9,36,130,143,185,129,26,0,0,659,7,55,157,167,199,152,31,3,0,763,7,7,13,18,15,6,0,0,0,71,9,10,24,22,31,15,0,0,3,115
POA6158,73,144,263,376,491,388,106,18,0,1857,0,0,3,0,5,3,0,0,0,12,0,3,13,13,11,4,0,0,0,41,0,3,5,4,10,4,0,0,0,28,0,0,0,3,0,0,0,0,0,7,0,0,10,14,12,9,0,0,0,42,0,0,5,8,10,6,4,0,0,31,25,26,23,20,35,18,4,0,0,159,37,32,32,8,6,13,0,0,0,129,3,5,3,10,6,0,0,0,0,33,6,0,8,3,9,0,0,0,0,28,0,3,6,23,15,3,3,0,0,54,0,3,8,9,10,13,9,0,0,48,0,3,31,50,29,18,3,0,0,148,0,7,8,7,17,7,4,0,0,44,0,4,11,23,31,23,0,0,0,103,8,13,33,56,123,119,17,0,0,365,4,36,68,72,117,85,20,0,0,406,3,5,5,14,8,4,4,0,0,48,0,6,8,11,17,9,0,0,0,55
POA6159,28,42,194,158,176,143,90,5,0,839,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5,7,0,0,0,32,0,4,3,3,7,3,0,0,0,24,0,0,0,0,4,0,0,0,0,8,0,0,3,3,3,3,3,0,0,18,0,3,0,4,3,3,3,0,0,19,4,15,12,12,16,7,10,4,0,73,11,17,15,4,8,3,0,0,0,60,0,0,7,3,3,0,3,0,0,14,0,3,3,5,4,0,0,0,0,12,0,0,7,3,11,3,0,0,0,23,0,0,3,9,5,8,0,0,0,21,0,11,21,26,17,12,0,3,0,92,0,0,8,3,4,4,4,0,0,25,0,0,10,8,10,12,0,0,0,43,0,5,22,6,40,35,11,0,0,125,0,5,51,30,26,43,4,0,0,163,0,0,13,0,4,3,3,0,0,25,0,0,0,4,4,4,3,0,0,19
POA6160,67,137,564,426,401,290,116,19,7,2024,0,0,4,0,0,0,0,0,0,5,0,0,20,14,7,3,4,0,0,54,0,5,13,12,5,3,3,0,0,50,0,0,0,5,0,0,0,0,0,5,0,0,22,5,9,3,0,0,0,39,0,0,4,7,8,5,0,0,0,18,18,29,44,25,37,22,7,0,0,174,29,50,71,18,16,14,4,0,0,196,0,0,12,7,11,9,0,0,0,30,0,3,6,4,8,3,3,0,0,27,0,3,13,9,5,0,0,0,0,24,3,3,11,4,10,6,4,0,0,37,0,9,63,58,44,17,7,0,0,195,3,3,25,11,7,8,0,0,0,53,0,4,35,31,35,22,10,0,0,134,6,20,74,56,85,89,14,4,0,351,6,21,124,74,82,90,28,0,0,424,7,14,19,13,12,10,3,0,0,74,5,6,18,15,5,12,4,0,0,64
POA6161,0,6,18,8,12,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6162,94,185,542,594,615,453,145,20,0,2649,0,0,3,0,3,0,4,0,0,11,0,6,18,22,15,0,0,0,0,55,7,8,19,23,14,6,4,0,0,84,0,0,6,3,3,3,0,0,0,13,0,6,6,22,14,13,3,0,0,57,0,0,11,8,6,3,0,0,0,30,47,32,49,37,47,29,5,0,0,239,44,42,68,16,11,10,4,0,0,198,0,3,8,8,9,10,0,0,0,39,5,3,9,6,6,9,0,0,0,35,0,0,14,14,15,7,0,0,0,48,0,0,6,10,10,7,8,0,0,42,0,6,54,55,49,27,3,0,0,191,0,0,13,9,12,10,8,0,0,56,0,4,27,47,72,38,5,0,0,187,3,21,70,107,150,101,25,0,0,484,6,23,106,136,146,125,27,0,0,566,5,7,22,13,20,11,3,0,0,80,0,9,20,22,18,10,4,0,0,80
