POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6437,98,9,0,0,0,108,6,3,0,0,0,9,3,5,0,0,0,7,105,18,0,0,0,122
POA6438,95,3,0,15,4,115,53,0,0,10,3,66,7,0,0,0,4,11,147,8,0,27,11,190
POA6440,80,3,0,5,6,92,67,4,0,3,0,70,8,0,0,0,0,9,154,6,0,9,7,175
POA6442,649,51,4,0,0,713,100,19,0,0,0,115,16,4,0,0,0,18,762,70,9,0,0,846
POA6443,158,3,0,5,6,169,90,0,0,7,3,101,19,0,0,3,8,40,274,3,4,15,14,307
POA6445,48,0,0,3,0,49,6,0,0,0,0,6,0,0,0,0,0,0,55,0,0,3,0,58
POA6446,33,0,0,0,0,34,3,0,0,0,0,3,0,0,0,0,0,3,32,0,0,0,0,39
POA6447,45,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,50
POA6448,89,0,0,0,9,93,21,0,0,0,0,17,0,0,0,0,0,6,108,0,0,0,6,113
POA6450,3294,197,52,31,40,3617,633,159,14,12,16,825,117,32,0,3,5,164,4036,384,67,49,61,4601
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6460,201,3,0,3,7,213,67,3,0,3,4,71,5,0,0,0,4,8,269,7,0,4,9,293
POA6461,168,0,0,0,0,170,36,4,0,0,0,33,3,0,0,0,0,3,203,4,0,0,0,211
POA6462,31,0,0,0,0,31,12,0,0,0,0,12,0,0,0,0,0,0,45,0,0,0,0,45
POA6463,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
POA6465,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13
POA6466,20,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,26
POA6467,13,0,0,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11
POA6468,67,0,0,0,0,65,12,0,0,0,0,12,3,0,0,0,0,3,82,0,0,0,0,80
POA6470,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
POA6472,51,0,0,0,0,52,12,0,0,0,0,14,0,0,0,0,0,0,59,0,0,0,0,66
POA6473,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
POA6475,121,0,0,0,0,122,38,0,0,0,0,38,4,0,0,0,0,4,162,0,0,0,0,162
POA6476,17,0,0,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,21
POA6477,78,0,0,0,0,74,19,0,0,0,0,22,0,0,0,0,0,0,99,0,0,3,0,107
POA6479,149,3,0,0,0,160,32,5,0,0,0,41,7,0,0,0,0,7,187,8,0,0,3,202
POA6480,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12
POA6484,7,0,0,0,0,7,11,0,0,0,0,11,0,0,0,0,0,0,14,0,0,0,0,14
POA6485,144,3,0,0,0,147,52,0,0,0,0,52,4,0,0,0,0,4,200,3,0,0,0,203
POA6487,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
POA6488,52,0,0,0,0,52,27,0,0,0,0,28,0,0,0,0,0,0,76,0,0,3,0,79
POA6489,23,0,0,0,0,23,11,0,0,0,0,11,0,0,0,0,0,0,37,0,0,0,0,37
POA6490,70,0,0,0,0,71,20,0,0,0,0,20,0,0,0,0,0,0,90,0,0,0,0,97
POA6501,264,0,0,0,3,270,36,0,0,3,0,39,11,0,0,0,0,11,306,0,0,3,3,316
POA6502,318,0,9,0,3,334,70,0,6,0,0,74,11,0,3,0,0,15,394,0,18,0,3,419
POA6503,554,7,0,8,15,584,120,0,0,3,0,123,31,0,0,3,3,38,704,6,0,14,17,744
POA6504,49,0,0,0,0,49,9,0,0,0,0,9,0,0,0,0,0,0,59,0,0,0,0,59
POA6505,33,0,0,0,0,33,7,0,0,0,0,7,9,0,0,0,0,9,49,0,0,0,0,49
POA6506,18,0,0,0,0,19,6,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,21
POA6507,140,0,0,0,4,145,33,0,0,0,0,33,3,0,0,0,3,7,178,0,0,0,6,184
POA6509,41,4,0,0,0,48,5,3,0,0,0,9,0,0,0,0,0,0,47,4,0,0,0,53
POA6510,496,9,0,3,4,511,174,3,0,0,0,177,25,0,0,5,0,25,688,12,0,11,4,718
POA6511,153,0,0,3,0,154,42,0,0,0,0,42,11,0,0,0,0,11,199,0,0,3,0,206
POA6512,32,0,0,0,0,32,11,0,0,0,0,11,0,0,0,0,0,0,36,0,0,0,0,36
POA6513,57,0,0,0,0,58,13,0,0,0,0,13,3,0,0,0,0,3,72,0,0,0,0,73
POA6514,179,3,0,5,0,193,51,0,0,8,0,59,10,0,0,0,0,10,241,6,0,12,0,262
POA6515,98,0,0,0,0,97,29,0,0,0,0,29,3,0,0,0,0,3,129,0,0,0,0,129
POA6516,514,19,0,21,0,549,110,3,0,4,0,121,14,0,0,0,0,25,640,21,3,28,0,697
POA6517,123,0,3,0,0,127,25,0,3,0,0,25,4,0,0,0,0,4,153,0,6,0,0,162
POA6518,70,0,0,0,0,68,17,0,0,0,0,17,0,0,0,0,0,0,85,0,0,0,0,87
POA6519,157,0,8,0,0,166,39,0,3,0,0,39,4,4,0,0,0,8,201,3,5,0,4,216
POA6521,107,0,0,3,0,111,23,0,0,0,0,21,0,0,0,0,0,4,129,0,0,3,0,141
POA6522,131,0,7,0,0,140,31,0,0,0,3,35,0,0,0,3,0,3,163,0,3,5,3,180
POA6525,1023,18,19,28,12,1098,209,24,22,13,4,270,32,0,3,0,0,39,1267,42,48,40,16,1404
POA6528,103,0,0,10,0,116,24,0,0,7,0,29,4,0,0,0,0,4,125,0,0,19,0,145
POA6530,8060,876,133,114,28,9203,1489,493,100,69,15,2165,234,50,25,18,12,334,9782,1418,254,195,48,11697
POA6532,1752,6,0,59,13,1828,250,0,0,20,0,278,48,0,0,8,8,62,2051,3,3,95,19,2165
POA6535,418,0,0,16,3,434,149,0,9,17,0,174,18,0,0,0,0,20,581,0,8,29,3,621
POA6536,372,28,32,33,3,476,67,22,19,16,0,124,6,3,0,8,0,21,445,60,50,62,3,622
POA6537,225,15,18,36,0,294,39,8,0,19,3,64,10,0,0,9,0,14,265,24,19,55,3,372
POA6556,614,0,0,4,4,624,57,0,0,0,0,62,12,0,0,0,3,18,690,0,0,6,12,702
POA6558,232,0,0,3,0,238,23,0,0,0,0,23,10,0,0,0,0,9,263,0,0,3,0,268
POA6560,364,6,0,8,0,379,93,5,0,0,0,101,14,0,0,0,0,15,468,13,3,8,0,492
POA6562,383,0,0,5,0,387,65,0,0,0,0,65,16,0,0,0,0,16,460,0,0,5,0,463
POA6564,102,0,0,0,0,102,29,0,0,0,0,29,3,0,0,0,0,3,131,0,0,0,0,129
POA6566,1016,4,3,15,6,1041,176,4,0,4,0,189,48,0,0,5,0,53,1237,17,3,24,7,1286
POA6567,135,0,0,0,4,141,22,0,0,0,0,22,6,0,0,0,0,6,171,0,0,0,4,174
POA6568,74,0,0,0,0,72,20,0,0,0,0,20,3,0,0,0,0,3,91,0,0,0,0,92
POA6569,76,0,0,3,0,74,31,0,0,0,0,33,3,0,0,0,0,3,105,0,0,3,0,111
POA6571,26,0,0,0,0,26,4,0,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,32
POA6572,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
POA6574,20,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,28
POA6575,36,0,0,6,0,41,3,0,0,0,0,3,0,0,0,0,0,0,45,0,0,6,0,49
POA6603,327,0,0,3,0,335,91,7,0,0,0,99,16,0,0,0,0,13,431,8,0,8,0,452
POA6605,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16
POA6606,58,0,0,0,0,56,18,0,0,0,0,18,0,0,0,0,0,0,73,0,0,0,0,76
POA6608,40,0,0,0,0,40,8,0,0,0,0,8,0,0,0,0,0,0,50,0,0,0,0,50
POA6609,220,10,0,14,7,249,33,9,0,7,0,48,3,0,0,0,0,3,259,14,3,15,7,296
POA6612,39,0,0,0,0,45,18,0,0,4,0,17,3,0,0,0,0,5,62,0,0,3,0,61
POA6613,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
POA6614,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9
POA6616,16,0,0,0,0,16,4,0,0,3,0,7,0,0,0,0,0,0,26,0,0,3,0,24
POA6620,84,0,0,0,0,91,23,0,0,0,0,22,5,0,0,0,0,3,113,4,0,3,0,120
POA6623,172,0,0,0,0,170,50,0,0,0,0,54,9,0,0,0,0,9,231,0,0,0,3,235
POA6625,17,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16
POA6627,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
POA6628,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
POA6630,124,0,0,5,3,137,56,0,0,0,0,64,3,0,0,0,0,9,182,0,0,12,6,205
POA6631,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,12
POA6632,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
POA6635,28,0,0,0,0,28,24,0,0,0,0,25,3,0,0,0,0,4,53,0,0,3,0,60
POA6638,81,5,0,6,0,97,38,0,0,0,0,39,7,0,0,0,0,7,127,5,0,6,5,143
POA6639,27,0,0,0,0,26,11,0,0,0,0,11,0,0,0,0,0,3,32,0,0,0,0,38
POA6640,34,0,0,0,3,44,22,0,0,0,0,24,0,0,0,0,0,3,61,0,0,7,4,67
POA6642,90,0,17,4,5,121,67,0,7,4,0,83,11,0,0,0,4,15,176,0,23,8,12,219
POA6646,47,0,0,0,4,52,40,0,0,3,0,41,3,0,0,0,0,5,87,0,0,7,4,95
POA6701,1055,64,27,120,16,1278,323,71,12,56,3,464,71,14,0,14,3,101,1445,145,46,189,25,1852
