POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA6572,49,0,556,0,1374,0.8,1124,2.3
POA6574,41,0,966,0,2125,0.9,1687,2.8
POA6575,39,0,900,93,2031,1,1781,2.7
POA6603,39,1083,735,147,1566,0.8,1286,2.3
POA6605,34,0,1281,50,1812,0.9,1624,2.9
POA6606,47,439,662,75,1292,0.7,1020,2.1
POA6608,44,1083,671,0,1625,0.8,1166,2.4
POA6609,36,999,841,200,1945,0.7,1549,2.4
POA6612,41,867,777,150,1424,0.8,1221,2.5
POA6613,48,663,849,0,1437,0.8,1343,2.8
POA6614,59,0,1468,0,2499,0.4,1458,1.5
POA6616,47,1000,630,0,1312,0.8,1125,2.1
POA6620,40,774,1273,150,1791,0.7,1360,2.5
POA6623,39,542,573,190,1363,0.7,1120,2.3
POA6625,42,0,850,0,1958,0.6,1375,2.3
POA6627,30,0,487,0,1375,0.7,1416,2.9
POA6628,48,0,575,0,762,0.5,725,2
POA6630,40,650,661,105,1437,0.8,1116,2.4
POA6631,51,0,1300,0,2625,0.6,1749,1.7
POA6632,30,0,850,0,1437,1.1,1468,3.9
POA6635,37,325,1420,50,2062,0.9,1437,2.5
POA6638,42,442,526,145,1399,0.8,1110,2.4
POA6639,58,0,509,0,1375,0.5,1083,1.7
POA6640,50,775,534,110,949,0.6,875,1.9
POA6642,35,600,992,100,1399,0.8,1347,2.5
POA6646,35,0,1345,70,860,1.1,1014,3
POA6701,39,1517,692,200,1598,0.9,1258,2.4
POA6705,26,0,419,30,700,1.1,966,3
POA6707,37,2167,819,300,2016,0.9,1657,2.5
POA6710,40,2325,2772,99,2607,0.9,2190,2.3
POA6711,0,0,0,0,0,0,0,0
POA6712,39,0,3000,0,0,0,0,0
POA6713,35,3200,1525,420,3507,0.9,3284,3
POA6714,31,2500,1396,260,2961,0.9,2634,2.8
POA6716,33,0,1794,28,2949,0.9,2525,2.7
POA6718,32,1717,384,150,907,1.1,980,3.3
POA6720,31,2514,1413,110,3116,0.9,2765,2.9
POA6721,33,3033,1601,176,3565,0.9,3104,2.5
POA6722,30,2600,1232,209,2765,0.9,2422,2.8
POA6725,33,2594,848,245,1991,1,1708,2.7
POA6726,34,2500,980,320,2210,0.9,1944,2.6
POA6728,30,1733,455,100,1151,1.1,1299,3
POA6731,0,0,0,0,0,0,0,0
POA6733,0,0,0,0,0,0,0,0
POA6740,30,1060,440,118,1025,1,1112,2.9
POA6743,32,2200,896,200,2007,1,1785,2.6
POA6751,33,737,1951,46,2847,0.9,2443,2.8
POA6753,33,433,1729,110,2806,0.9,2502,2.9
POA6754,32,0,1649,30,3160,0.9,2750,2.9
POA6758,37,0,2339,40,875,1.2,1042,2.8
POA6760,32,1767,703,50,1160,1.3,1410,3.2
POA6762,35,0,1896,90,599,1.5,1062,4.7
POA6765,29,1900,384,80,903,1.2,1155,3.1
POA6770,28,981,378,75,836,1.2,1003,3.2
