POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6275,0,3,0,0,0,0,0,0,0,5,0,9,3,0,4,3,0,0,4,22,26,78,66,68,62,76,38,112,13,547
POA6280,22,71,54,58,62,83,48,60,3,454,16,51,42,33,61,57,28,68,83,440,575,1720,1365,1608,1780,1733,1062,1994,213,12039
POA6281,5,25,14,19,11,21,4,17,0,114,4,24,14,17,11,17,11,18,31,144,211,511,385,479,421,493,286,569,62,3402
POA6282,0,5,0,3,0,4,0,0,0,10,0,7,3,3,0,3,5,4,3,30,30,119,81,94,47,90,41,123,7,632
POA6284,5,8,0,3,0,4,3,8,0,29,6,3,0,6,3,4,0,9,7,35,81,166,138,148,110,121,85,209,11,1067
POA6285,7,30,21,24,19,25,4,15,3,145,22,33,15,18,24,35,19,30,30,228,263,687,548,639,643,728,334,679,80,4604
POA6286,0,0,3,0,3,5,0,0,0,14,0,0,4,0,0,4,3,3,0,16,14,53,42,46,51,40,19,63,10,335
POA6288,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,9,14,38,29,33,27,35,19,71,7,278
POA6290,0,0,0,0,3,4,0,4,0,18,3,3,3,0,0,6,0,0,8,23,46,110,73,97,64,77,28,90,13,608
POA6302,0,7,8,6,5,3,9,19,0,51,4,13,6,3,8,12,10,12,9,72,74,198,133,186,157,189,135,318,17,1407
POA6304,0,0,0,6,3,3,3,3,0,18,0,0,0,0,3,3,3,7,3,24,31,85,59,87,59,102,46,172,12,662
POA6306,0,3,0,0,3,5,0,0,0,10,5,3,0,0,0,0,0,3,4,18,22,42,33,60,38,44,35,140,8,421
POA6308,4,0,3,0,0,3,3,5,0,13,0,3,0,0,0,0,3,4,8,18,37,81,57,53,43,92,56,186,15,630
POA6309,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,3,0,0,0,8,8,8,5,12,9,14,5,38,4,100
POA6311,0,0,0,0,4,0,3,3,0,13,3,0,0,0,0,3,0,0,4,10,12,30,18,26,35,35,33,73,4,268
POA6312,3,9,10,8,10,31,13,13,0,100,9,11,3,3,8,15,8,15,22,91,126,210,196,196,286,369,198,356,40,1979
POA6313,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,5,7,12,7,30,11,31,0,123
POA6315,0,3,3,0,0,7,10,9,0,35,3,0,3,5,0,0,3,3,10,33,40,108,77,93,62,143,71,203,12,808
POA6316,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,8,15,11,15,17,23,22,11,57,0,174
POA6317,7,10,10,7,3,19,4,16,0,77,5,12,7,7,17,8,4,3,17,71,79,170,137,198,354,323,186,301,35,1780
POA6318,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,6,0,6,3,16,14,23,14,32,25,34,31,68,6,243
POA6320,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,9,20,18,21,19,16,34,24,82,3,222
