POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6396,33,4,0,0,0,0,0,41
POA6397,4,0,3,0,0,0,0,3
POA6398,32,0,0,0,0,0,3,38
POA6401,602,46,36,18,0,0,16,714
POA6403,16,0,0,0,0,0,0,18
POA6405,31,8,0,0,0,0,0,41
POA6407,101,8,3,0,0,0,0,109
POA6409,37,3,3,0,0,0,0,45
POA6410,73,9,10,0,0,0,8,96
POA6411,9,0,0,0,0,0,0,14
POA6412,3,0,0,0,0,0,0,5
POA6413,4,0,0,0,0,0,0,4
POA6414,8,0,0,0,0,0,0,8
POA6415,231,23,19,5,0,0,3,278
POA6418,54,4,3,0,0,0,0,66
POA6419,7,0,0,0,0,0,0,10
POA6420,14,0,0,0,0,0,0,12
POA6421,11,0,0,0,0,0,0,12
POA6422,7,0,0,0,0,0,0,7
POA6423,7,0,0,0,0,0,0,9
POA6424,8,0,0,0,0,0,0,8
POA6425,11,0,0,0,0,0,0,11
POA6426,61,4,3,0,0,0,0,66
POA6427,0,0,0,0,0,0,0,0
POA6428,10,0,0,0,0,0,0,10
POA6429,54,10,6,3,0,0,0,72
POA6430,2469,174,155,36,8,8,13,2863
POA6431,55,5,8,7,3,0,7,87
POA6432,604,55,62,14,0,0,3,733
POA6434,7,0,0,0,0,0,0,9
POA6436,5,0,0,0,0,0,0,8
POA6437,43,3,3,0,0,0,0,46
POA6438,31,3,3,3,0,0,0,39
POA6440,20,10,3,3,3,0,6,39
POA6442,259,18,23,0,0,0,0,310
POA6443,32,7,0,0,0,0,0,40
POA6445,24,0,0,0,0,0,0,21
POA6446,14,0,0,0,0,0,0,14
POA6447,16,0,0,0,0,0,0,21
POA6448,36,3,3,0,0,0,0,44
POA6450,1174,117,70,18,3,0,13,1389
POA6452,0,0,0,0,0,0,0,0
POA6460,63,5,3,0,0,0,0,69
POA6461,52,7,0,0,0,0,0,53
POA6462,18,0,0,0,0,0,0,14
