POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA6107,242,24,4,0,0,274,103,7,0,0,0,113,86,3,0,0,0,87,151,11,3,0,4,172,179,20,0,0,0,195,536,74,9,0,3,620,835,136,22,0,0,999,1412,168,19,0,0,1606,768,51,6,0,0,830,428,28,0,3,0,457,199,13,3,0,0,218,213,17,0,0,0,232,5161,557,68,6,12,5809
POA6108,163,7,0,0,0,168,79,6,0,0,0,78,68,6,0,0,0,74,124,4,3,0,0,130,163,7,0,0,0,169,468,30,3,0,0,505,622,40,3,0,0,676,919,24,3,0,0,945,395,12,0,0,0,410,166,6,0,0,0,178,110,7,0,0,0,112,128,0,0,0,0,130,3402,159,17,4,0,3573
POA6109,60,8,3,0,0,70,35,4,3,3,0,42,32,0,0,0,0,36,65,3,0,0,0,64,93,3,0,0,0,98,265,13,5,3,0,292,373,13,11,0,3,406,410,15,3,3,0,437,127,3,0,0,0,136,54,0,0,0,0,56,43,0,0,4,0,53,61,3,0,0,0,66,1621,73,35,20,6,1754
POA6110,268,5,0,0,0,273,125,10,0,0,0,140,123,8,0,0,0,125,166,12,3,0,0,188,244,21,0,0,0,267,766,51,3,0,0,828,1195,108,13,0,3,1322,1718,84,5,0,0,1809,910,20,0,0,0,930,528,5,0,0,0,539,204,0,0,0,0,206,220,20,0,0,0,242,6467,353,29,0,11,6864
POA6111,175,10,0,0,0,184,75,3,0,0,0,79,87,3,0,0,0,92,123,6,0,0,0,130,185,9,0,0,0,199,534,45,0,0,0,579,633,54,0,0,0,690,861,29,3,0,0,890,406,3,0,0,0,408,263,4,0,0,0,268,132,3,0,0,0,136,145,3,0,0,0,150,3622,175,6,4,0,3810
POA6112,293,17,3,0,0,309,157,10,0,0,0,171,115,18,0,0,0,136,240,17,0,0,0,258,341,30,0,0,0,371,1046,121,14,0,3,1174,1696,178,0,0,3,1882,2797,212,5,0,0,3015,1558,63,0,0,0,1626,889,58,0,0,0,951,363,19,0,0,0,383,309,19,3,0,0,327,9790,775,28,0,9,10604
POA6121,10,0,0,0,0,10,10,0,0,0,0,10,8,0,0,0,0,8,13,0,0,0,0,13,20,0,0,0,0,20,48,0,0,0,0,45,36,0,0,0,0,36,96,0,0,0,0,92,54,0,0,0,0,54,117,0,0,0,0,115,66,0,0,0,0,66,28,0,0,0,0,35,502,0,0,3,0,509
POA6122,78,0,0,0,0,84,20,0,0,0,0,20,21,0,0,0,0,21,60,0,0,0,0,60,73,0,0,0,0,74,249,4,0,0,0,260,587,17,0,0,0,609,1388,7,0,0,3,1395,669,4,0,0,0,676,321,0,0,0,0,324,132,0,0,0,0,130,110,0,0,0,3,110,3714,38,4,3,9,3767
POA6123,8,0,0,0,0,8,3,0,0,0,0,3,7,0,0,0,0,7,10,0,0,0,0,10,12,0,0,0,0,12,23,0,0,0,0,23,36,0,0,0,0,36,97,0,0,0,0,97,33,0,0,0,0,33,25,0,0,0,0,25,11,0,0,0,0,11,8,0,0,0,0,8,266,0,0,0,0,266
POA6124,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,7,4,0,0,0,0,4,23,0,0,0,0,26,40,0,0,0,0,40,54,0,0,0,0,54,24,0,0,0,0,24,23,0,0,0,0,23,15,0,0,0,0,15,10,0,0,0,0,10,216,0,0,3,0,217
