region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6150,35,55,90,39,36,75,21,48,69,29,110,139,166,122,288,174,98,272,183,91,274,173,65,238,170,46,216,312,59,371,327,11,338,462,43,505,342,7,349,193,3,196,318,7,325,452,57,509,32,28,60,3428,886,4314
POA6151,51,93,144,22,55,77,19,98,117,34,230,264,112,247,359,163,187,350,182,226,408,191,215,406,186,219,405,383,284,667,380,56,436,639,390,1029,448,25,473,249,17,266,548,25,573,454,106,560,32,69,101,4093,2542,6635
POA6152,63,126,189,62,96,158,38,219,257,64,471,535,292,459,751,323,302,625,310,292,602,321,343,664,368,285,653,559,361,920,586,71,657,766,345,1111,565,31,596,294,21,315,551,38,589,647,160,807,72,119,191,5881,3739,9620
POA6153,60,64,124,47,40,87,23,98,121,38,240,278,196,263,459,219,204,423,273,177,450,264,173,437,250,134,384,459,186,645,437,28,465,727,234,961,498,8,506,265,9,274,762,15,777,612,64,676,56,50,106,5186,1987,7173
POA6154,10,27,37,25,29,54,4,68,72,19,220,239,124,178,302,167,114,281,175,94,269,142,95,237,158,60,218,254,83,337,224,8,232,322,84,406,263,4,267,118,0,118,225,6,231,302,35,337,38,57,95,2570,1162,3732
POA6155,137,73,210,118,51,169,50,120,170,90,287,377,448,209,657,513,202,715,606,173,779,732,206,938,777,201,978,1646,246,1892,1545,50,1595,1799,182,1981,1270,21,1291,568,14,582,800,15,815,1545,77,1622,125,38,163,12769,2165,14934
POA6156,37,35,72,34,47,81,16,128,144,48,370,418,223,272,495,238,162,400,265,148,413,209,132,341,225,107,332,431,158,589,383,27,410,534,105,639,427,12,439,186,9,195,359,15,374,539,59,598,56,63,119,4210,1849,6059
POA6157,30,25,55,34,45,79,5,132,137,18,362,380,199,291,490,182,203,385,216,164,380,176,157,333,205,154,359,354,204,558,354,25,379,478,163,641,326,17,343,158,8,166,243,11,254,392,43,435,42,75,117,3412,2079,5491
POA6158,13,20,33,11,16,27,11,52,63,13,111,124,73,98,171,77,63,140,86,61,147,75,69,144,91,54,145,144,92,236,155,18,173,253,81,334,204,6,210,121,0,121,221,3,224,231,39,270,18,31,49,1797,814,2611
POA6159,3,14,17,8,5,13,3,33,36,5,75,80,29,32,61,24,30,54,26,24,50,32,34,66,35,21,56,51,41,92,66,8,74,99,74,173,80,3,83,36,6,42,87,6,93,77,25,102,7,14,21,668,445,1113
POA6160,13,23,36,21,52,73,13,130,143,18,236,254,94,159,253,97,133,230,92,99,191,88,122,210,93,101,194,178,150,328,174,32,206,227,169,396,189,22,211,93,12,105,159,14,173,220,90,310,24,41,65,1793,1585,3378
POA6161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,3,5,8,0,4,4,3,3,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,18,20,38
POA6162,25,39,64,47,55,102,23,150,173,32,331,363,200,190,390,189,122,311,153,89,242,173,104,277,133,85,218,246,108,354,265,22,287,297,106,403,239,11,250,95,5,100,184,12,196,359,65,424,46,61,107,2706,1555,4261
POA6163,101,136,237,130,140,270,93,465,558,164,1176,1340,1100,724,1824,917,531,1448,829,409,1238,838,428,1266,842,312,1154,1465,411,1876,1298,97,1395,1179,236,1415,825,29,854,391,19,410,494,30,524,1540,208,1748,218,235,453,12424,5586,18010
POA6164,96,56,152,81,66,147,59,152,211,99,313,412,535,225,760,492,218,710,565,250,815,754,308,1062,846,256,1102,1811,328,2139,1870,82,1952,1667,245,1912,1124,36,1160,512,22,534,650,28,678,1577,113,1690,159,106,265,12897,2804,15701
POA6165,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,7,4,0,4,0,0,0,0,3,3,4,0,4,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,24,9,33
POA6166,20,15,35,26,10,36,8,29,37,17,122,139,147,97,244,125,67,192,129,55,184,110,41,151,172,32,204,253,48,301,251,4,255,241,37,278,199,8,207,91,0,91,134,3,137,317,12,329,52,24,76,2292,604,2896
POA6167,42,52,94,52,61,113,37,161,198,94,459,553,494,203,697,450,181,631,419,232,651,476,236,712,447,157,604,854,169,1023,610,25,635,416,69,485,229,14,243,107,3,110,103,8,111,738,55,793,120,107,227,5688,2192,7880
POA6168,51,59,110,61,88,149,52,284,336,93,848,941,702,487,1189,583,286,869,504,264,768,422,236,658,447,177,624,769,215,984,550,37,587,451,136,587,234,6,240,109,8,117,130,6,136,766,77,843,145,177,322,6069,3391,9460
POA6169,67,56,123,76,84,160,60,231,291,129,591,720,768,443,1211,728,280,1008,623,240,863,645,272,917,647,190,837,1213,219,1432,892,36,928,875,156,1031,567,11,578,237,7,244,283,8,291,1322,78,1400,161,145,306,9293,3047,12340
POA6170,7,10,17,7,8,15,13,16,29,24,31,55,92,29,121,104,26,130,93,45,138,111,45,156,134,41,175,240,33,273,249,8,257,171,23,194,111,10,121,39,0,39,55,5,60,249,13,262,24,14,38,1723,357,2080
POA6171,29,28,57,30,12,42,16,32,48,35,56,91,133,71,204,177,65,242,160,55,215,224,81,305,300,88,388,631,91,722,649,30,679,627,65,692,382,7,389,157,6,163,184,6,190,588,40,628,44,14,58,4366,747,5113
POA6172,21,13,34,17,8,25,18,38,56,47,96,143,204,48,252,183,43,226,186,31,217,229,70,299,270,50,320,507,70,577,389,16,405,405,52,457,264,3,267,118,4,122,130,0,130,600,31,631,60,22,82,3648,595,4243
POA6173,17,9,26,14,6,20,3,5,8,19,18,37,86,18,104,86,22,108,88,18,106,122,37,159,120,42,162,376,56,432,355,7,362,409,37,446,302,5,307,122,6,128,151,3,154,482,27,509,30,7,37,2782,323,3105
POA6174,3,4,7,4,3,7,3,11,14,13,17,30,52,14,66,31,17,48,31,11,42,31,12,43,25,10,35,70,21,91,60,3,63,74,13,87,35,0,35,21,0,21,33,0,33,75,9,84,7,5,12,568,150,718
POA6175,8,5,13,12,0,12,3,5,8,3,20,23,43,14,57,43,14,57,42,9,51,51,17,68,56,10,66,100,14,114,81,0,81,112,17,129,62,4,66,35,0,35,33,3,36,116,4,120,6,5,11,806,141,947
POA6176,0,0,0,0,0,0,0,0,0,0,9,9,11,3,14,11,0,11,13,0,13,7,8,15,14,5,19,21,0,21,24,0,24,23,3,26,14,0,14,9,0,9,12,0,12,28,0,28,6,6,12,193,34,227
