region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6566,0,0,0,3,13,37,43,28,15,139,0,0,3,0,0,0,0,0,0,3,9,10,14,37,64,52,37,22,4,249,95,105,206,354,548,609,361,130,34,2442
POA6567,0,0,0,3,3,6,6,0,0,18,0,0,0,0,3,0,0,3,0,6,0,0,4,6,3,3,3,3,0,22,7,7,17,51,70,77,50,15,0,294
POA6568,0,0,0,0,4,3,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,6,21,39,41,29,13,18,3,174
POA6569,0,0,0,3,3,0,8,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,9,3,6,33,6,14,47,45,63,32,30,15,6,258
POA6575,0,0,0,0,0,0,6,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,4,20,49,40,28,23,10,0,179
POA6603,0,0,4,3,0,7,11,10,8,43,0,0,0,0,0,4,0,0,0,4,4,9,14,11,4,0,0,12,0,54,31,43,165,147,155,159,65,45,21,831
POA6606,0,0,0,0,0,0,4,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,11,6,10,42,42,58,45,23,17,0,243
POA6608,0,0,0,0,0,0,5,0,0,5,0,0,3,0,0,0,0,0,0,3,3,0,3,0,3,0,3,0,0,12,12,13,32,22,60,31,21,12,3,206
POA6609,0,0,0,3,3,11,10,7,3,37,0,0,4,0,0,0,0,0,0,4,0,6,3,0,7,7,3,4,3,33,13,62,85,63,82,59,40,29,15,448
POA6612,0,0,0,0,3,3,7,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,12,3,0,23,31,41,43,20,21,0,182
POA6620,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,6,0,18,9,6,22,29,25,23,12,9,0,135
POA6623,0,0,4,0,9,12,12,16,6,59,0,0,0,0,0,0,0,0,0,0,8,4,28,25,24,23,7,9,3,131,55,72,257,255,271,177,85,56,18,1246
POA6628,0,0,0,0,0,0,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,24,27,15,15,4,0,128
POA6630,3,0,0,3,0,7,10,11,0,34,0,0,0,0,0,0,0,4,0,4,6,6,6,6,16,12,13,6,0,71,15,36,66,71,91,66,41,29,0,415
POA6635,0,0,3,3,3,8,3,0,0,20,0,0,3,0,0,3,0,0,0,6,5,7,21,20,11,6,6,0,0,76,5,68,105,104,69,54,29,3,0,437
POA6638,0,0,0,6,6,4,10,3,0,29,0,0,0,0,0,0,4,0,0,4,7,8,11,23,20,16,14,0,0,99,23,49,95,109,109,60,51,12,0,508
POA6639,0,0,0,0,3,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,0,0,18,3,9,6,12,24,23,18,0,0,95
POA6640,0,0,0,0,0,12,9,0,0,21,0,0,0,0,0,3,0,0,0,3,3,6,6,10,11,10,8,6,0,60,9,18,21,19,47,72,25,6,5,222
POA6642,6,0,19,14,6,24,16,6,0,91,0,0,0,0,0,0,0,0,3,3,7,28,67,46,44,33,15,6,0,246,38,113,282,197,226,159,61,21,6,1103
POA6646,3,7,8,4,15,11,7,0,0,55,0,0,0,0,0,3,0,3,0,6,0,17,42,34,30,12,3,0,0,138,30,125,309,229,211,93,27,9,0,1033
POA6701,9,4,19,30,36,89,97,46,5,335,0,8,5,13,6,8,9,9,3,61,36,38,103,122,124,142,92,55,18,730,200,267,725,876,839,770,481,186,47,4391
POA6705,0,0,0,6,3,3,3,3,0,18,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,5,6,0,0,27,11,21,27,32,31,33,21,3,0,179
POA6707,0,3,0,5,6,11,15,10,0,50,0,0,0,0,0,3,0,0,0,3,6,16,35,38,35,26,16,10,0,182,55,109,396,431,351,312,166,61,4,1885
POA6710,3,3,0,3,19,21,12,3,0,64,0,6,0,0,0,6,0,0,0,12,5,42,142,139,103,62,16,0,0,509,19,188,616,556,451,287,64,9,0,2190
POA6713,0,0,0,3,0,6,6,0,0,15,0,0,0,0,0,0,0,0,0,0,13,9,40,41,47,23,0,0,0,173,43,76,219,227,260,101,30,3,3,962
POA6714,0,7,18,15,49,54,33,7,0,183,0,0,10,11,7,6,3,3,0,40,161,337,895,897,687,362,81,10,4,3434,582,1352,4039,3744,2849,1401,253,39,8,14267
POA6716,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,10,4,6,0,0,0,31,17,34,130,140,94,50,7,0,0,472
POA6718,0,0,0,6,9,17,11,0,0,43,0,0,0,0,0,0,8,3,6,17,10,15,17,34,25,18,6,3,0,128,52,70,121,135,109,95,31,9,6,628
POA6720,3,3,4,6,10,14,8,4,0,52,0,0,0,0,4,0,0,0,0,4,38,50,143,140,91,43,7,5,0,517,117,172,506,491,390,212,35,12,0,1935
POA6721,4,0,0,7,22,29,21,0,3,86,7,0,0,5,6,0,0,0,0,18,39,112,288,240,211,98,21,9,3,1021,128,386,1193,1077,886,465,126,26,6,4293
POA6722,3,0,14,21,38,65,30,14,3,188,0,0,8,0,10,24,22,21,9,94,140,208,483,402,366,181,41,7,7,1835,467,980,2271,1758,1511,798,168,50,22,8025
POA6725,13,12,17,25,42,84,65,34,7,299,0,9,6,5,8,12,11,8,3,62,58,106,254,267,174,140,65,31,9,1104,360,704,1718,1680,1350,945,354,129,31,7271
POA6726,0,6,12,9,9,19,15,7,6,83,3,0,0,0,5,0,3,3,0,14,37,48,115,84,97,59,29,10,0,479,188,348,881,859,783,519,167,62,15,3822
POA6728,24,13,20,38,53,68,30,19,6,271,0,8,9,5,13,33,31,25,9,133,73,281,812,480,234,117,38,17,7,2059,296,671,1549,1120,795,556,181,87,25,5280
POA6740,8,14,11,19,21,19,22,7,0,121,0,0,6,4,11,3,4,6,0,34,20,17,29,38,31,17,10,3,5,170,93,121,304,246,210,133,87,16,9,1219
POA6743,24,21,49,42,41,64,41,10,3,295,0,0,13,7,9,24,17,9,7,86,45,69,136,115,105,75,27,11,0,583,250,475,1182,1046,920,630,205,46,10,4764
POA6751,0,6,4,8,12,16,8,0,0,54,0,0,0,4,0,4,6,0,0,14,22,92,251,199,177,69,8,0,0,818,124,434,1339,1217,863,361,47,7,0,4392
POA6753,10,7,16,28,39,37,14,0,0,151,0,6,0,12,0,5,7,0,0,30,70,211,538,432,331,152,9,0,0,1743,252,856,2340,1898,1412,661,76,7,0,7502
POA6754,0,0,0,0,7,5,3,0,0,15,0,0,0,0,4,0,0,0,0,4,11,10,37,27,20,11,0,0,0,116,42,95,337,293,199,81,21,0,3,1071
POA6758,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,0,11,11,11,22,25,21,20,13,3,0,126
POA6760,0,4,4,13,4,11,3,3,0,42,3,0,0,0,6,0,3,3,0,15,6,5,9,9,7,9,7,3,0,55,34,54,68,75,44,38,19,12,0,344
POA6762,4,6,10,11,14,13,6,0,0,64,0,0,0,0,0,0,3,8,3,14,3,16,38,30,18,12,3,0,0,120,27,140,344,264,183,91,18,8,3,1078
POA6765,9,9,15,18,34,22,12,9,3,131,0,0,0,0,4,6,16,15,0,41,7,12,20,14,13,8,3,3,3,83,89,157,261,206,200,97,45,33,9,1097
POA6770,35,34,29,41,48,49,18,5,6,265,0,0,6,7,19,31,35,17,3,118,14,15,42,23,39,23,11,14,6,187,188,271,570,390,340,275,106,36,15,2191
POA6907,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,13,3,6,6,3,0,0,0,37,382,462,68,17,18,10,3,3,0,963
