region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6167,0,1923,1923,2387,227,2614,1342,31,1373,1151,3,1154,513,5,518,296,3,299,5689,2192,7881
POA6168,0,3053,3053,3248,291,3539,1213,38,1251,993,5,998,421,3,424,194,0,194,6069,3390,9459
POA6169,0,2728,2728,4132,265,4397,1954,47,2001,1975,4,1979,827,3,830,406,0,406,9294,3047,12341
POA6170,0,285,285,629,57,686,389,14,403,411,3,414,177,0,177,116,0,116,1722,359,2081
POA6171,0,617,617,1586,104,1690,918,18,936,1177,4,1181,470,3,473,215,0,215,4366,746,5112
POA6172,0,499,499,1179,70,1249,790,20,810,992,3,995,462,3,465,225,0,225,3648,595,4243
POA6173,0,245,245,722,65,787,590,13,603,949,0,949,360,0,360,160,0,160,2781,323,3104
POA6174,0,129,129,229,20,249,128,0,128,126,0,126,63,0,63,23,0,23,569,149,718
POA6175,0,124,124,282,11,293,161,5,166,229,0,229,99,0,99,37,0,37,808,140,948
POA6176,0,28,28,74,5,79,32,0,32,50,0,50,23,0,23,15,0,15,194,33,227
POA6180,0,161,161,355,15,370,218,7,225,236,0,236,87,0,87,41,0,41,937,183,1120
POA6181,0,14,14,44,0,44,29,0,29,27,0,27,19,0,19,10,0,10,129,14,143
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,0,66,66,128,3,131,49,3,52,67,0,67,30,0,30,13,0,13,287,72,359
POA6208,0,799,799,1421,64,1485,456,6,462,489,0,489,207,0,207,103,0,103,2676,869,3545
POA6209,0,218,218,254,8,262,80,3,83,94,0,94,37,0,37,13,0,13,478,229,707
POA6210,0,6088,6088,8880,620,9500,3059,68,3127,2935,15,2950,1174,3,1177,523,0,523,16571,6794,23365
POA6211,0,355,355,790,27,817,265,3,268,350,0,350,133,0,133,48,0,48,1586,385,1971
POA6213,0,73,73,100,9,109,30,0,30,37,0,37,15,0,15,9,0,9,191,82,273
POA6214,0,23,23,39,3,42,22,0,22,24,0,24,9,0,9,4,0,4,98,26,124
POA6215,0,337,337,500,17,517,168,4,172,185,3,188,91,0,91,35,0,35,979,361,1340
POA6218,0,55,55,54,7,61,18,0,18,20,0,20,9,0,9,7,0,7,108,62,170
POA6220,0,404,404,578,29,607,285,6,291,231,3,234,111,0,111,45,3,48,1250,445,1695
POA6221,0,27,27,54,0,54,19,0,19,25,0,25,17,0,17,4,0,4,119,27,146
POA6224,0,107,107,124,12,136,67,3,70,62,0,62,37,0,37,17,0,17,307,122,429
POA6225,0,884,884,1081,58,1139,502,9,511,445,0,445,201,0,201,98,0,98,2327,951,3278
POA6226,0,31,31,67,3,70,36,0,36,44,0,44,24,0,24,5,0,5,176,34,210
POA6227,0,24,24,58,3,61,21,0,21,36,0,36,17,0,17,6,0,6,138,27,165
POA6229,0,58,58,57,10,67,17,3,20,29,0,29,15,0,15,3,0,3,121,71,192
POA6230,0,3963,3963,4994,437,5431,2235,102,2337,2195,24,2219,839,8,847,343,0,343,10606,4534,15140
POA6232,0,586,586,1138,67,1205,556,10,566,573,7,580,230,3,233,97,3,100,2594,676,3270
POA6233,0,821,821,1862,88,1950,859,16,875,1035,5,1040,432,3,435,164,0,164,4352,933,5285
POA6236,0,98,98,242,10,252,103,0,103,137,0,137,50,0,50,19,0,19,551,108,659
POA6237,0,149,149,343,13,356,140,0,140,156,0,156,60,0,60,31,0,31,730,162,892
POA6239,0,303,303,569,22,591,191,3,194,232,0,232,89,0,89,42,0,42,1123,328,1451
POA6240,0,23,23,44,0,44,12,3,15,17,0,17,3,0,3,5,0,5,81,26,107
POA6244,0,168,168,244,8,252,58,0,58,87,0,87,35,0,35,15,0,15,439,176,615
POA6251,0,39,39,63,0,63,25,0,25,14,0,14,15,0,15,6,0,6,123,39,162
POA6253,0,69,69,128,3,131,21,0,21,20,0,20,5,0,5,5,0,5,179,72,251
POA6254,0,75,75,105,8,113,33,0,33,24,0,24,13,0,13,7,0,7,182,83,265
