region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6220,349,194,340,135,214,118,213,470,38,2071
POA6221,67,25,22,6,25,17,18,38,0,218
POA6224,63,49,93,44,54,42,80,85,10,520
POA6225,244,346,1135,334,350,289,652,725,89,4164
POA6226,54,55,79,25,36,23,37,41,0,350
POA6227,25,37,53,17,25,26,26,38,3,250
POA6229,60,19,36,12,31,12,40,35,6,251
POA6230,1831,3144,3749,1706,2396,1864,1767,2415,242,19114
POA6232,375,478,1042,411,608,489,515,605,65,4588
POA6233,747,1075,1591,664,1006,699,821,937,102,7642
POA6236,194,143,186,75,108,89,107,102,12,1016
POA6237,213,184,241,110,160,80,122,148,12,1270
POA6239,291,256,313,166,192,129,189,290,34,1860
POA6240,39,29,18,8,18,0,6,11,6,135
POA6244,290,64,69,40,56,34,58,112,12,735
POA6251,60,13,27,24,7,16,19,37,5,208
POA6253,70,32,40,19,17,21,19,34,3,255
POA6254,42,24,52,16,22,10,42,54,3,265
POA6255,234,230,258,169,171,129,155,205,28,1579
POA6256,45,12,15,9,9,3,6,9,0,108
POA6258,509,323,417,250,345,260,269,538,36,2947
POA6260,209,91,77,69,65,56,53,126,16,762
POA6262,107,45,32,28,27,9,19,66,6,339
POA6271,138,164,243,113,132,90,150,173,12,1215
POA6275,135,76,74,50,55,34,46,108,10,588
POA6280,1366,1350,1921,989,1250,1155,759,1462,128,10380
POA6281,406,468,549,267,324,291,112,295,25,2737
POA6282,131,150,94,46,56,56,20,75,10,638
POA6284,188,134,142,73,71,73,37,104,9,831
POA6285,557,563,704,378,395,382,184,554,41,3758
POA6286,94,35,38,29,20,18,20,42,4,300
POA6288,64,15,33,20,18,15,9,38,3,215
POA6290,128,59,109,62,71,56,45,93,17,640
POA6302,320,188,209,134,160,116,141,177,18,1463
POA6304,202,62,82,58,53,21,61,64,6,609
POA6306,166,28,32,40,32,23,31,40,9,401
POA6308,234,63,79,43,60,18,85,90,12,684
POA6309,54,11,15,3,10,10,15,12,0,130
POA6311,80,35,36,25,30,29,17,43,5,300
POA6312,333,347,349,237,252,169,125,275,33,2120
POA6313,85,19,15,16,16,7,15,21,6,200
POA6315,225,76,107,70,86,52,71,102,6,795
POA6316,96,26,22,3,16,6,11,24,0,204
POA6317,298,224,292,151,176,148,97,359,43,1788
POA6318,13,11,17,0,9,5,9,15,0,79
POA6320,217,39,29,26,28,7,13,43,9,411
POA6321,20,5,7,12,12,3,16,16,0,91
POA6322,128,18,10,11,12,8,8,21,4,220
POA6323,100,48,40,32,33,33,44,61,6,397
POA6324,301,147,191,136,137,79,112,234,15,1352
POA6326,93,21,33,14,32,19,23,39,3,277
POA6327,65,12,25,10,19,3,9,28,0,171
POA6328,111,18,16,10,16,6,11,29,3,220
POA6330,1882,2320,2371,1718,1781,1542,1016,1823,184,14637
POA6333,465,434,340,216,238,172,112,231,34,2242
POA6335,122,31,45,34,42,22,32,35,9,372
POA6336,70,10,16,0,7,5,6,17,0,131
POA6337,132,20,33,19,24,12,19,36,6,301
POA6338,229,26,35,14,20,9,20,43,0,396
POA6341,95,10,7,7,18,0,11,9,3,160
POA6343,103,5,3,6,4,6,6,3,3,139
POA6346,94,35,106,22,27,14,100,59,3,460
POA6348,174,60,112,31,63,24,84,65,6,619
POA6350,19,5,15,13,8,3,13,15,0,91
