POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA6024,0,0,5,0,0,0,12,13,4,54,16,75,0,169,4,7,26,22,99,4,164,3,0,3,6,15,0,32,3,3,42,50,393,13,499,8,0,15,12,36,5,70,6,0,26,19,63,3,120,4,0,20,15,39,6,81,0,3,23,15,48,5,98,4,0,13,7,14,5,44,3,0,29,25,8,0,71,0,3,6,11,17,0,43,25,7,121,42,38,10,244,3,0,15,12,37,0,65,12,17,52,35,58,3,180,32,16,80,15,37,9,188,12,0,46,19,23,3,109,0,3,9,9,12,0,33,6,0,15,7,63,0,87,7,0,20,13,64,4,109,137,75,612,353,1149,67,2391,0,0,0,0,0,0,0,8,0,16,11,11,3,45,5,0,7,9,15,6,35,3,0,6,0,0,0,16,5,0,15,16,20,3,58,0,3,8,8,6,3,28,4,0,33,23,62,11,131,3,0,11,8
POA6025,0,0,13,7,3,4,27,40,14,144,70,213,6,491,7,3,50,44,258,6,374,8,0,29,15,46,3,107,27,6,106,122,927,27,1210,7,3,40,21,73,10,148,17,3,70,34,123,5,253,3,3,33,29,74,8,152,12,3,43,35,93,9,198,7,0,21,24,34,5,92,23,15,78,47,20,13,190,4,0,35,24,39,5,102,77,11,300,109,82,20,602,3,3,31,22,74,0,133,35,25,123,79,122,20,403,66,37,147,31,55,15,344,48,17,139,40,70,11,320,3,3,27,4,28,3,65,9,4,20,17,173,5,235,21,0,41,45,135,29,267,409,156,1484,824,2643,200,5718,0,3,0,9,3,0,10,10,3,42,14,14,3,86,3,4,34,26,22,8,92,3,0,13,3,3,0,18,7,4,48,38,59,6,171,3,0,23,15,25,8,78,9,3,102,73,122,19,331,8,4,43,29
POA6026,0,0,0,9,9,0,15,32,7,94,29,112,10,281,8,3,43,40,160,0,250,6,0,31,18,39,6,102,5,8,84,83,576,19,776,7,0,33,22,45,7,118,7,3,57,38,96,3,206,6,0,17,12,54,3,90,4,5,35,45,97,5,188,9,5,18,14,25,0,71,11,3,62,74,21,0,183,0,0,18,11,21,3,55,45,23,219,69,53,5,418,4,4,27,20,59,4,108,29,24,95,90,97,13,344,54,45,155,27,41,0,315,22,12,65,36,44,5,174,5,0,20,6,15,3,52,8,4,26,21,127,5,193,15,0,36,24,108,9,187,268,150,1132,686,1794,95,4131,0,0,3,4,3,0,15,7,4,27,13,17,0,72,0,0,25,14,23,3,72,4,0,6,3,8,0,24,0,4,30,27,24,8,89,0,0,11,9,12,3,42,11,3,68,59,100,19,260,0,3,21,18
POA6027,0,3,11,3,17,3,39,51,16,132,81,323,12,614,26,5,79,59,326,12,504,9,0,22,20,58,0,112,23,12,142,212,1339,54,1789,16,3,50,32,125,6,227,12,6,107,71,225,21,446,6,3,63,34,113,12,232,13,4,53,62,134,10,274,3,0,23,30,62,8,130,16,11,64,49,44,7,183,3,4,31,22,38,7,103,71,21,326,129,105,13,669,11,4,46,30,126,15,239,40,34,154,146,174,19,567,106,59,239,45,83,8,537,33,17,154,67,78,20,370,4,4,33,14,38,5,94,11,3,30,35,253,8,351,14,8,70,58,217,31,394,481,209,1826,1200,3870,278,7863,0,0,7,0,8,5,22,4,9,43,25,23,9,110,3,3,33,34,43,3,122,6,0,12,6,9,3,43,11,8,62,65,89,16,239,3,0,18,26,29,3,85,21,5,142,119,196,26,517,13,0,74,55
POA6028,0,0,3,3,10,3,20,36,6,94,62,200,13,416,9,7,35,47,181,13,277,11,0,21,9,48,0,92,17,11,85,107,701,31,947,6,3,19,24,80,4,134,12,0,61,29,118,8,233,3,0,19,17,71,6,119,8,0,37,38,95,3,189,4,3,18,19,20,0,64,14,14,59,54,12,9,162,0,0,13,14,22,3,47,57,17,182,84,67,15,416,3,0,28,21,48,3,103,24,22,76,96,107,10,338,54,36,105,28,41,9,260,36,14,69,35,39,9,215,3,4,13,6,24,3,50,4,0,13,13,146,0,184,14,3,30,35,128,17,223,308,133,981,751,2167,156,4493,0,0,0,3,3,4,12,6,8,25,15,16,0,67,6,4,22,14,16,3,71,0,4,8,6,9,0,25,3,0,34,43,43,7,133,0,3,19,6,18,3,49,14,3,86,76,117,19,313,0,0,39,19
POA6029,0,0,0,0,0,0,3,5,0,26,4,15,3,50,5,0,9,6,7,0,31,0,0,3,0,0,0,5,3,0,13,9,72,0,97,0,0,3,4,3,0,14,3,0,6,5,0,0,16,0,0,5,3,3,0,16,0,0,12,4,3,0,21,0,0,3,0,0,0,6,0,0,10,12,0,0,25,0,0,6,9,5,0,19,15,6,48,8,7,3,82,0,0,0,5,5,0,8,6,4,6,5,11,0,28,14,4,19,3,3,0,43,10,4,23,0,0,0,37,0,0,6,0,0,0,15,3,0,0,0,9,0,13,4,0,8,3,9,3,21,64,20,212,84,161,11,553,0,0,0,0,0,0,0,7,0,9,0,3,0,12,0,3,3,4,0,0,13,0,0,0,0,0,0,3,0,0,8,7,0,0,14,3,3,4,0,0,0,11,0,0,10,10,11,0,31,4,0,3,4
POA6030,0,0,8,4,30,3,56,26,13,104,68,352,23,578,12,8,32,50,294,13,406,11,0,21,10,59,3,99,9,8,70,131,1230,65,1521,5,0,34,34,88,6,162,10,4,57,66,228,12,381,7,0,39,52,110,7,210,13,0,38,54,148,17,260,9,0,18,20,34,0,78,12,4,51,35,34,3,139,8,3,10,23,35,8,92,53,12,167,93,103,23,450,3,3,32,34,104,3,186,15,18,91,116,144,12,397,40,38,92,31,52,7,261,26,14,93,58,77,11,283,0,3,9,10,40,0,68,9,0,21,24,231,8,294,9,3,27,32,207,43,323,278,138,1002,957,3596,269,6234,0,0,11,3,13,0,28,14,0,14,23,27,6,91,3,3,26,26,32,4,97,0,0,13,11,14,4,44,3,3,26,49,71,10,161,0,0,24,23,36,4,84,10,4,94,89,231,34,460,7,0,50,51
POA6031,0,0,10,0,13,4,26,8,0,27,25,134,10,204,9,0,18,40,176,12,254,6,4,6,9,24,3,53,0,4,44,55,507,21,631,0,0,13,20,48,3,88,6,4,40,22,97,12,183,4,0,23,11,59,3,107,8,3,27,41,70,13,154,0,0,3,12,18,0,38,12,3,15,19,19,0,68,0,0,8,7,7,0,27,27,7,73,40,36,3,171,0,0,8,9,53,5,75,12,5,40,65,92,10,220,13,15,40,13,19,0,106,8,4,46,23,42,7,134,0,0,9,4,8,3,24,4,3,7,19,135,3,172,5,0,12,19,70,18,125,138,55,472,458,1631,126,2870,0,0,3,3,6,3,15,0,0,15,7,9,0,35,3,4,8,18,22,0,52,0,0,3,3,4,0,12,3,0,14,14,40,4,77,0,0,10,9,18,0,31,9,4,59,42,106,15,230,3,3,23,31
POA6032,0,0,0,0,3,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,8,7,23,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
POA6033,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,5,0,3,0,7,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,3,3,6,0,0,12,4,35,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
POA6034,0,0,0,0,4,0,5,0,0,0,3,20,3,29,0,0,0,4,23,0,27,0,0,0,0,0,0,0,0,0,3,5,69,0,82,0,0,4,0,3,0,9,0,0,4,4,16,0,24,0,0,0,0,5,0,13,0,0,3,4,6,0,7,0,0,0,0,0,0,7,0,0,0,3,0,0,7,0,0,0,0,3,0,4,0,3,5,0,5,0,12,0,0,0,0,9,0,6,0,0,6,8,8,0,25,0,3,7,0,0,0,10,3,0,3,4,3,0,12,0,0,0,0,0,0,4,0,0,0,0,16,0,19,0,0,5,0,8,0,17,9,4,40,48,204,15,314,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,3,4,4,11,0,0,0,4,3,0,8,0,0,4,3,8,0,22,0,0,0,3
POA6035,0,0,3,4,18,0,26,3,0,10,18,118,3,152,0,0,4,8,74,0,85,0,0,0,4,15,0,23,0,0,5,27,308,10,359,0,0,0,7,19,0,35,0,0,8,14,39,7,73,0,0,3,3,20,0,28,0,0,3,8,24,3,35,0,0,0,3,13,0,16,4,0,6,3,4,0,17,0,0,0,7,5,0,16,6,0,20,13,18,0,56,0,0,8,4,24,3,41,6,3,7,22,37,3,73,8,7,19,8,10,0,47,9,0,12,20,15,0,58,0,0,0,3,3,0,10,5,0,6,4,40,0,51,0,0,8,9,41,11,66,34,12,130,187,856,51,1269,0,0,5,3,0,0,14,0,0,3,3,8,0,15,0,0,4,9,6,0,14,0,0,0,0,0,0,6,0,0,13,5,16,3,36,0,0,3,11,11,6,26,4,0,4,21,53,7,88,0,0,6,9
POA6036,3,0,4,0,10,0,17,5,3,32,41,184,11,275,4,0,27,16,124,0,172,0,0,8,7,26,0,43,9,0,33,49,479,30,600,3,0,6,11,36,3,55,9,0,25,23,83,8,144,3,0,7,17,48,10,79,7,0,21,26,70,8,126,0,0,4,6,10,3,28,10,0,7,17,13,0,42,0,0,11,9,13,0,33,8,3,62,37,37,7,154,0,0,10,12,43,3,73,11,9,25,41,55,8,148,11,16,48,9,19,4,104,5,0,33,32,28,9,108,0,0,8,8,11,0,25,4,0,9,18,88,6,120,0,0,14,19,62,12,111,84,44,383,382,1451,115,2460,0,0,3,0,3,0,7,0,0,5,9,13,3,36,0,0,12,9,13,4,38,0,0,3,0,9,0,16,0,0,9,8,26,6,51,0,5,0,4,10,0,21,0,3,41,38,117,10,210,3,0,23,37
POA6037,0,0,3,0,6,3,14,0,0,4,6,60,0,69,0,0,0,3,22,0,21,0,0,0,0,3,0,4,0,0,8,9,91,7,113,0,0,3,0,3,0,11,0,0,5,0,17,0,17,0,0,0,0,4,0,4,0,0,0,3,6,3,17,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,6,0,5,0,17,0,0,0,0,11,0,12,0,0,0,4,16,0,24,3,0,5,0,5,0,13,0,0,3,3,3,0,10,0,0,0,0,5,0,5,0,0,3,3,13,0,22,0,0,0,0,22,3,27,5,6,30,49,301,25,412,0,3,4,3,6,0,13,0,0,0,3,0,0,4,0,3,0,4,5,0,14,0,0,0,0,0,0,3,0,0,0,3,10,3,14,0,0,0,4,0,0,4,0,0,0,10,16,3,29,0,0,0,4
POA6038,0,0,4,0,4,0,10,3,3,13,13,79,3,115,3,0,5,7,53,3,65,0,0,3,3,14,0,22,4,0,22,24,273,9,337,4,0,7,3,13,0,36,0,0,14,11,53,3,85,3,0,15,19,18,3,48,3,0,6,9,34,0,47,4,0,0,0,4,3,14,3,0,9,14,0,0,26,0,0,6,0,5,3,11,7,3,23,20,15,3,71,0,0,6,10,17,0,32,8,0,11,24,40,9,95,9,3,18,5,15,0,47,3,0,15,21,22,0,57,0,0,6,3,7,0,11,3,0,8,6,49,0,63,0,0,10,5,33,4,50,55,17,177,199,743,46,1238,0,0,0,0,0,0,8,0,0,3,3,3,0,14,0,0,0,5,5,0,18,0,0,0,0,0,0,4,0,0,6,4,16,0,38,0,0,6,0,12,0,14,0,0,20,24,60,5,110,3,0,10,13
POA6041,0,0,3,0,8,3,11,0,0,0,6,24,0,30,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,6,34,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,3,4,0,9,0,0,0,0,7,0,10,0,0,0,0,3,0,3,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,8,4,3,9,12,124,7,155,0,0,3,3,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,0,3,4,0,3,9,0,0,0,0
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6043,0,0,0,0,8,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
POA6044,0,0,5,4,29,5,45,0,0,0,0,11,0,11,0,0,0,0,10,0,8,0,0,0,0,4,0,4,0,0,3,0,25,0,33,0,0,0,0,7,0,7,0,0,4,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,5,0,0,3,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,4,0,3,0,0,18,19,113,10,163,0,0,9,4,7,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0
POA6050,0,0,8,0,6,0,17,56,7,114,16,31,3,226,8,0,56,10,55,3,128,7,0,18,4,10,0,36,15,6,72,51,145,10,301,3,3,24,13,16,0,64,15,3,74,31,50,4,170,14,3,71,34,44,8,176,14,4,37,27,21,3,102,9,0,20,4,11,0,51,14,12,72,28,9,6,137,9,3,29,11,17,4,74,88,29,349,41,21,7,534,9,0,30,7,10,3,62,48,18,98,27,23,4,211,57,33,100,19,16,6,235,69,12,144,14,24,0,269,9,6,25,10,23,5,70,13,0,12,10,47,0,82,10,4,54,29,25,13,133,450,159,1397,393,583,83,3063,0,0,3,3,0,0,11,19,9,54,6,8,0,93,0,8,34,7,4,0,60,6,0,5,0,3,0,22,5,0,28,12,14,0,54,4,0,14,12,10,0,42,5,0,74,40,53,15,185,13,3,78,36
POA6051,0,0,3,3,3,0,8,40,3,98,25,64,0,231,10,3,54,28,79,3,175,6,3,19,3,6,0,40,14,9,60,39,171,4,295,15,0,28,8,19,3,65,19,0,60,28,37,8,155,20,0,62,47,61,9,208,22,0,48,37,36,11,152,7,4,33,11,21,0,73,14,7,32,16,9,3,75,3,0,12,9,12,4,43,65,15,221,41,22,12,377,11,4,39,17,20,0,99,35,17,94,37,43,5,231,43,23,73,13,11,3,164,37,13,88,23,32,0,194,8,0,17,12,17,0,49,11,3,16,12,55,4,93,9,4,45,22,46,10,138,362,105,1092,441,770,82,2858,0,0,4,0,0,0,4,10,3,59,13,11,0,101,3,0,24,10,11,0,56,3,0,10,0,3,0,23,12,6,25,16,17,3,78,0,0,10,4,10,0,25,15,3,65,30,44,5,164,13,4,61,45
POA6052,0,0,4,3,0,0,7,30,8,63,20,34,3,155,9,3,21,13,66,4,110,3,5,22,0,13,0,40,4,0,68,47,156,9,288,0,0,9,6,27,0,44,13,3,30,17,44,4,107,5,0,37,20,35,0,104,3,3,21,23,19,0,68,0,4,19,8,7,0,43,6,12,43,26,7,0,101,3,0,20,3,11,0,36,50,26,176,24,28,3,310,0,0,24,17,15,0,57,29,18,62,33,24,6,173,36,19,81,21,16,3,169,12,9,51,18,18,7,110,4,0,12,15,14,3,47,3,0,12,10,59,3,89,6,0,39,5,28,11,95,223,107,802,333,614,64,2139,0,0,0,0,0,0,0,11,6,27,3,12,0,57,0,0,10,6,4,0,27,0,0,4,0,3,0,6,3,3,20,8,13,0,47,0,0,13,7,4,0,26,13,3,57,28,26,3,131,8,0,29,24
POA6053,0,0,5,0,3,0,12,31,9,80,18,93,9,236,6,0,42,26,83,7,168,3,4,11,0,16,0,36,9,3,61,51,244,15,373,3,3,23,16,39,5,86,12,0,42,20,52,10,137,3,0,21,25,56,9,116,10,5,17,26,54,6,113,5,3,18,7,10,0,43,5,3,32,24,12,3,81,7,0,9,17,6,0,40,48,19,186,55,30,10,350,3,3,21,13,28,6,72,32,18,107,62,45,10,277,45,29,77,17,14,3,191,20,12,78,17,38,4,163,4,6,21,7,9,0,47,0,0,25,9,74,6,109,10,5,34,16,62,21,150,254,135,924,428,944,122,2802,0,0,0,0,0,0,4,9,3,52,16,10,3,92,7,0,27,16,14,0,70,5,5,11,5,0,0,29,5,3,26,20,15,3,67,4,0,9,12,6,0,35,6,0,56,31,45,10,142,3,3,34,24
POA6054,0,0,8,0,11,0,21,17,4,50,32,115,7,230,6,0,46,26,190,17,279,3,3,19,7,22,0,54,8,3,54,49,341,16,466,3,0,15,18,61,3,102,8,3,37,23,80,6,166,5,0,27,25,58,5,129,6,3,46,38,88,24,204,0,3,14,17,17,0,46,5,3,29,22,10,0,80,4,0,11,8,33,0,58,37,16,130,42,43,3,276,3,3,9,18,51,9,94,32,26,85,62,88,9,309,20,31,100,19,37,3,214,20,13,57,30,59,9,189,3,5,27,4,25,3,66,9,4,23,12,113,4,161,6,4,32,23,91,19,169,198,127,814,492,1525,131,3291,0,0,4,3,0,0,4,10,3,33,8,12,0,66,3,3,32,15,27,3,80,0,3,11,3,4,0,24,3,3,18,26,24,5,73,0,0,13,17,16,0,51,9,0,67,36,84,9,202,6,0,40,32
POA6055,3,0,4,10,22,3,43,29,9,63,46,213,9,359,17,3,57,56,187,12,323,0,0,9,10,17,0,41,12,3,59,62,441,16,587,8,3,22,16,63,3,116,12,3,61,40,104,15,222,8,3,32,37,74,7,159,23,9,55,80,139,7,314,5,4,16,16,21,0,63,10,3,31,14,22,4,79,0,0,4,14,22,3,41,29,13,121,50,46,4,268,0,0,17,16,53,3,93,27,16,62,53,109,12,272,30,23,87,16,23,6,178,28,9,77,38,41,7,204,3,3,11,10,27,0,59,3,0,24,23,149,6,208,12,3,27,40,102,17,201,253,106,838,634,1869,138,3832,0,0,0,4,4,3,13,5,6,27,21,21,0,87,0,0,22,18,28,3,70,0,0,5,3,4,0,20,8,4,19,22,35,9,99,5,0,13,10,25,3,57,14,3,65,61,105,14,270,15,3,51,48
POA6056,0,0,4,9,29,3,50,15,12,82,62,340,26,531,13,3,55,59,433,13,570,3,0,14,9,44,3,73,8,3,60,89,692,43,903,8,0,31,31,122,12,204,6,6,48,55,207,20,336,0,0,20,23,109,6,166,4,4,51,77,294,29,455,3,0,14,11,23,0,54,4,3,24,25,19,3,80,0,0,18,17,48,4,89,34,10,149,79,70,12,351,6,3,15,24,75,6,132,38,23,82,100,195,12,460,31,39,97,35,44,7,260,18,11,78,47,77,14,241,3,3,10,11,44,3,72,6,3,32,30,307,8,387,6,0,24,36,202,44,311,215,125,917,834,3375,264,5729,0,0,7,5,11,4,34,5,5,31,24,35,10,100,3,5,30,34,48,11,130,5,0,3,4,10,0,24,4,0,25,36,75,6,143,3,0,27,17,37,0,84,8,6,70,84,222,40,433,7,0,43,42
POA6057,0,0,3,0,8,0,19,12,8,27,22,202,7,275,4,5,29,22,176,12,240,0,4,5,3,23,0,29,3,0,21,37,374,22,456,0,0,13,16,78,3,116,3,0,20,6,88,5,126,0,0,12,12,47,3,67,6,3,27,24,171,14,242,0,0,4,8,5,0,18,0,0,13,8,10,0,38,0,0,8,5,28,0,48,7,9,45,35,30,4,133,6,0,13,12,24,4,60,4,6,39,37,60,0,144,4,15,37,8,22,3,97,8,4,36,21,28,5,98,0,0,6,3,19,0,28,3,4,4,16,191,9,220,3,3,14,11,117,16,171,59,64,394,316,1682,114,2622,0,0,3,4,4,0,15,3,0,16,9,25,0,58,0,0,7,14,32,3,68,0,0,4,6,4,0,16,0,0,15,19,30,8,76,0,0,13,10,18,3,42,4,0,26,36,81,13,157,0,0,12,14
