POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA6168,32,6,142,90,36,34,35,48,3,420,0,0,0,0,0,3,0,0,0,9,10,7,12,5,13,0,11,3,0,65,8,8,30,34,8,19,30,27,29,192,496,881,1500,917,566,319,382,425,99,5593
POA6169,60,14,194,78,48,63,42,51,9,549,0,0,0,0,0,0,4,0,0,15,20,10,26,10,16,8,11,10,4,116,12,23,57,30,15,20,28,46,47,272,820,1772,2327,1258,918,524,547,678,170,9011
POA6170,24,10,123,44,37,29,25,36,3,316,0,3,0,0,0,0,0,0,0,5,6,4,6,11,8,3,13,0,0,54,7,5,18,3,9,10,20,17,12,99,342,944,881,533,497,264,281,294,64,4105
POA6171,72,18,247,110,100,89,53,56,5,743,0,3,0,0,0,0,3,0,0,13,5,14,17,17,16,5,24,11,8,109,28,19,34,32,15,16,25,30,32,228,945,1935,2433,1344,1104,533,607,520,138,9555
POA6172,28,4,84,50,27,29,7,32,3,275,0,0,0,3,0,4,0,0,0,7,9,4,10,10,7,0,3,6,4,56,8,10,23,14,11,10,9,18,9,104,370,621,885,570,380,248,220,275,64,3638
POA6173,27,8,79,41,35,29,12,13,3,246,0,0,0,0,0,0,0,0,0,5,9,3,3,8,4,0,5,4,6,48,6,6,17,6,20,3,14,6,14,95,481,826,962,518,422,216,172,176,68,3838
POA6174,8,0,30,11,14,6,4,4,0,78,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,11,3,3,4,0,6,9,3,5,5,36,100,236,313,149,130,63,61,64,26,1134
POA6175,5,5,29,14,8,6,0,3,0,64,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,4,3,3,18,3,7,3,4,0,3,0,4,4,25,119,265,290,145,115,44,58,66,16,1107
POA6176,0,3,7,10,4,3,3,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,16,40,69,109,57,57,32,27,39,5,441
POA6180,16,3,42,25,22,14,5,5,0,136,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,3,0,0,11,3,0,8,0,4,0,3,6,0,25,143,279,388,218,174,93,107,104,21,1525
POA6181,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,28,26,43,18,21,11,13,11,4,162
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,3,0,5,3,0,0,4,8,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,14,41,43,86,36,23,14,24,19,12,286
POA6208,11,8,58,19,17,14,19,15,6,166,0,0,0,0,0,3,0,0,0,3,3,3,6,3,3,3,6,3,0,30,8,6,25,11,9,6,13,4,13,93,224,408,669,297,228,135,223,181,52,2416
