POA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA6705,3,0,0,3,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,4,9,19,3,41
POA6707,7,46,8,3,0,63,5,6,28,4,14,0,62,3,3,15,3,11,0,36,0,0,0,8,27,0,39,0,0,11,5,20,7,38,28,22,205,144,492,50,948
POA6710,3,10,3,3,0,20,3,0,4,3,4,0,19,0,0,0,0,3,0,3,0,0,0,0,7,0,9,4,3,10,9,58,4,96,62,26,326,237,1328,55,2034
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,10,16,75,3,112,28,11,161,136,785,35,1157
POA6713,7,13,0,7,4,33,3,0,10,3,4,0,20,0,0,0,0,0,0,4,0,0,0,0,6,0,7,0,0,0,3,15,3,21,8,14,74,65,215,24,399
POA6714,66,268,52,95,10,518,40,23,131,69,81,11,353,0,3,6,12,11,0,38,4,0,20,35,167,10,230,16,0,39,37,202,49,342,277,159,1278,870,3168,299,6036
POA6716,3,10,4,9,0,27,0,0,3,0,0,0,9,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,7,34,34,175,9,268
POA6718,0,3,3,4,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,13,4,0,13,13,45,15,87
POA6720,4,32,5,17,0,57,0,0,23,19,13,0,56,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,3,5,3,17,7,13,119,98,528,37,801
POA6721,11,44,12,21,3,93,19,18,75,39,27,5,181,0,0,5,3,11,0,23,0,4,7,5,53,7,76,0,0,13,4,33,10,62,87,65,384,291,860,77,1771
POA6722,32,119,32,50,6,259,20,24,93,69,81,16,310,0,0,0,4,20,0,26,5,0,10,19,106,3,141,3,0,4,14,55,23,103,68,81,466,425,1713,178,2932
POA6725,53,190,58,96,6,440,43,57,222,105,130,21,578,0,0,21,12,19,0,56,8,3,19,23,118,11,183,3,3,22,22,71,21,141,161,146,835,526,1403,161,3237
POA6726,26,113,29,60,4,265,37,29,142,72,70,12,356,3,3,9,4,10,3,34,3,4,15,13,45,0,79,0,0,13,17,46,11,83,115,86,521,356,729,92,1890
POA6728,27,74,11,68,16,221,24,16,92,35,47,20,238,0,0,0,3,8,0,10,0,0,3,5,66,22,94,3,0,9,4,25,17,53,59,61,269,150,532,106,1175
