region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6077,206,0,0,85,0,291,170,0,0,0,0,170,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16,4,0,0,0,0,4,3,0,0,6,0,9,4,0,0,0,0,4,30,0,0,6,0,36,3,0,0,3,0,6,9,0,0,3,0,12,418,0,0,97,0,515
POA6078,65,40,3,0,0,108,96,30,0,0,0,126,3,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,12,5,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,7,173,82,3,0,0,258
POA6079,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
POA6081,522,0,0,0,0,522,864,0,0,0,0,864,62,3,0,0,0,65,4,0,0,0,0,4,56,0,0,0,0,56,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,9,136,3,0,0,0,139,5,0,0,0,0,5,26,0,0,0,0,26,1553,3,0,0,0,1556
POA6082,334,3,3,3,0,343,535,0,3,0,0,538,45,4,0,0,0,49,4,0,0,0,0,4,60,0,3,0,0,63,0,0,0,0,0,0,6,0,0,0,0,6,7,0,0,0,0,7,122,4,3,0,0,129,8,0,0,0,0,8,24,0,0,3,0,27,1023,7,9,6,0,1045
POA6083,405,3,0,0,0,408,628,3,0,3,3,637,31,0,0,0,0,31,0,0,0,0,0,0,51,0,0,3,0,54,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,98,0,0,3,0,101,3,0,0,0,0,3,10,0,0,0,0,10,1144,6,0,6,3,1159
POA6084,592,0,0,4,0,596,1157,4,0,11,0,1172,126,0,0,0,0,126,9,0,0,0,0,9,127,0,0,3,0,130,4,0,0,0,0,4,28,0,0,0,7,35,14,0,0,0,0,14,308,0,0,3,7,318,12,0,0,3,0,15,24,0,0,0,0,24,2093,4,0,21,7,2125
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3
POA6100,831,218,175,3,0,1227,949,314,292,4,0,1559,457,356,857,0,6,1676,19,54,34,0,0,107,341,197,256,0,0,794,3,6,26,0,0,35,22,19,35,0,0,76,15,8,9,0,0,32,857,640,1217,0,6,2720,13,4,8,0,0,25,58,36,43,0,0,137,2708,1212,1735,7,6,5668
POA6101,959,206,94,0,0,1259,1425,406,147,3,0,1981,598,358,276,0,0,1232,195,134,132,0,0,461,465,231,96,0,0,792,13,5,8,0,0,26,35,17,13,0,0,65,27,14,0,0,0,41,1333,759,525,0,0,2617,35,6,0,0,0,41,98,54,39,0,0,191,3850,1431,805,3,0,6089
POA6102,574,104,161,0,0,839,700,101,209,0,0,1010,449,217,288,0,0,954,202,145,357,0,0,704,406,139,156,3,0,704,13,24,175,0,0,212,37,12,33,0,0,82,13,6,18,0,0,37,1120,543,1027,3,0,2693,13,68,173,0,0,254,84,44,79,0,0,207,2491,860,1649,3,0,5003
POA6103,480,57,113,0,0,650,652,112,184,0,0,948,358,112,333,0,0,803,153,138,149,0,3,443,220,32,127,0,0,379,3,3,7,0,0,13,20,13,21,0,0,54,22,5,3,0,0,30,776,303,640,0,3,1722,9,5,5,0,0,19,66,20,26,0,0,112,1983,497,968,0,3,3451
POA6104,1084,119,12,10,4,1229,1442,208,48,0,5,1703,537,243,52,0,3,835,182,229,65,0,0,476,367,99,17,0,4,487,9,13,0,0,0,22,29,9,4,4,0,46,27,5,0,0,0,32,1151,598,138,4,7,1898,11,13,3,0,0,27,107,40,3,0,0,150,3795,978,204,14,16,5007
POA6105,1431,113,107,0,0,1651,1363,157,78,0,0,1598,569,143,75,0,0,787,181,37,43,0,0,261,437,102,46,0,0,585,4,6,12,0,0,22,54,18,3,0,0,75,34,3,3,3,0,43,1279,309,182,3,0,1773,15,3,29,0,3,50,122,19,20,0,0,161,4210,601,416,3,3,5233
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
POA6107,2820,251,120,12,0,3203,4307,475,218,0,4,5004,1188,498,309,0,0,1995,247,144,75,0,0,466,1105,222,94,3,3,1427,33,11,6,0,0,50,131,30,13,11,0,185,68,14,7,0,0,89,2772,919,504,14,3,4212,78,22,31,0,0,131,274,84,19,0,0,377,10251,1751,892,26,7,12927
POA6108,2455,74,60,0,0,2589,3456,46,50,0,0,3552,593,25,56,0,0,674,153,13,31,0,0,197,565,21,40,0,0,626,9,0,4,0,0,13,49,5,0,0,0,54,23,0,0,0,0,23,1392,64,131,0,0,1587,30,60,0,0,0,90,145,9,15,0,0,169,7478,253,256,0,0,7987
