region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA6721,0,0,3,0,3,0,5,0,0,5,0,0,3,0,3,0,0,3,0,3,4,6,5,3,18,9,4,4,0,17,7,4,0,0,11,3,7,3,0,13,7,6,3,0,16,14,22,4,0,40,27,28,3,3,61,61,113,10,0,184,54,58,3,0,115,54,30,0,0,84,77,89,3,7,176,34,57,5,0,96,7,4,0,0,11,358,433,52,13,856
POA6722,11,5,3,0,19,0,0,4,3,7,0,4,12,0,16,3,3,18,0,24,11,3,26,3,43,3,13,32,4,52,8,10,12,4,34,13,19,21,0,53,19,13,16,0,48,46,75,12,7,140,57,57,17,4,135,86,227,28,6,347,117,138,4,4,263,121,89,7,4,221,119,181,6,5,311,86,127,32,4,249,21,28,25,6,80,721,992,275,54,2042
POA6725,9,3,6,3,21,8,16,17,0,41,0,3,30,3,36,3,10,33,3,49,37,40,53,4,134,40,49,57,7,153,40,43,39,4,126,21,68,29,6,124,48,50,34,0,132,85,123,35,0,243,112,124,12,5,253,72,121,17,0,210,72,78,5,0,155,25,28,4,0,57,34,26,4,0,64,85,149,42,6,282,14,17,20,6,57,705,948,437,47,2137
POA6726,5,4,0,0,9,0,3,3,0,6,5,4,13,0,22,3,0,18,0,21,12,3,32,0,47,9,11,21,6,47,25,8,19,3,55,28,25,23,0,76,28,20,14,0,62,54,72,24,0,150,100,67,9,0,176,59,60,12,0,131,60,46,3,0,109,18,19,0,0,37,29,46,0,0,75,64,111,33,0,208,7,17,16,0,40,506,516,240,9,1271
POA6728,3,0,3,0,6,7,9,4,0,20,3,0,41,4,48,4,9,28,0,41,28,43,37,4,112,18,51,44,5,118,9,27,17,5,58,24,36,15,4,79,12,27,21,3,63,34,46,18,4,102,43,29,6,3,81,29,26,3,0,58,26,29,3,0,58,9,12,0,0,21,7,8,0,0,15,43,67,22,0,132,14,18,16,3,51,313,437,278,35,1063
POA6740,3,0,3,0,6,5,0,0,4,9,0,0,15,0,15,0,0,7,0,7,5,13,20,6,44,4,11,14,3,32,8,7,8,0,23,6,14,4,0,24,7,7,7,0,21,9,13,6,0,28,5,15,3,0,23,10,5,0,0,15,9,3,0,3,15,0,0,0,0,0,3,5,0,0,8,10,20,11,0,41,0,0,7,5,12,84,113,105,21,323
POA6743,16,0,4,0,20,0,6,3,0,9,3,3,27,0,33,9,3,23,0,35,20,23,25,4,72,14,18,31,0,63,27,17,21,0,65,20,33,11,5,69,35,26,21,0,82,73,81,23,4,181,100,64,6,0,170,47,58,3,0,108,77,41,0,0,118,28,8,0,0,36,37,30,3,3,73,70,121,30,0,221,17,11,12,0,40,593,543,243,16,1395
POA6751,6,0,0,0,6,0,4,4,0,8,0,3,5,0,8,0,0,3,0,3,5,0,6,3,14,3,4,5,0,12,0,0,4,0,4,5,7,7,0,19,8,12,10,0,30,21,32,11,0,64,20,26,4,0,50,32,151,9,0,192,62,88,4,0,154,27,40,0,0,67,40,49,0,0,89,21,62,6,0,89,8,5,0,3,16,258,483,78,6,825
POA6753,0,4,4,0,8,4,0,0,0,4,0,3,9,0,12,0,3,0,0,3,0,8,7,0,15,3,5,7,0,15,4,4,5,0,13,3,9,5,0,17,8,9,9,3,29,15,39,7,0,61,39,42,3,0,84,50,179,11,0,240,65,95,6,0,166,59,58,3,0,120,60,88,5,3,156,34,106,8,3,151,12,14,4,0,30,356,666,93,9,1124
POA6754,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,0,0,5,0,5,7,19,3,0,29,10,12,3,0,25,16,55,0,0,71,14,26,3,3,46,11,9,3,0,23,39,24,0,3,66,12,28,3,0,43,0,0,4,0,4,115,178,27,6,326
