POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,7,6,3,0,26
POA6632,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,6,12,8,0,3,3,0,45
POA6635,0,3,0,3,6,3,0,0,0,23,0,0,8,0,4,9,0,3,0,18,0,0,11,0,12,0,0,0,0,22,0,5,9,4,3,3,0,0,0,23,0,3,17,14,8,8,0,0,0,48,0,0,3,3,7,3,0,0,0,18,13,12,21,12,14,12,0,0,0,82,23,30,72,46,70,50,12,3,0,303
POA6638,0,0,0,4,6,3,3,0,0,18,0,0,5,3,0,4,0,0,0,12,0,4,3,3,7,3,0,0,0,16,0,0,3,0,7,0,5,0,0,16,0,0,6,3,7,0,0,0,0,15,0,0,0,0,3,0,0,0,0,7,8,7,18,20,19,23,15,0,0,108,26,21,60,65,69,78,69,12,3,394
POA6639,0,0,0,0,3,5,0,0,0,11,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,0,0,16,0,0,0,9,20,28,23,6,0,86
POA6640,0,0,3,0,0,3,0,0,0,12,0,0,0,0,3,3,3,0,0,7,0,0,4,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,5,4,6,9,4,7,12,3,0,46,9,6,25,15,19,52,29,10,0,170
POA6642,0,3,9,9,8,9,3,0,0,41,0,5,11,9,3,10,4,0,0,42,0,4,14,11,11,4,4,0,0,45,0,3,15,6,12,6,0,0,0,42,0,4,38,31,26,10,0,0,0,108,0,0,10,11,18,7,0,0,0,47,26,14,65,46,25,22,16,0,3,228,53,52,230,172,148,138,70,12,10,876
POA6646,0,0,11,3,7,3,3,0,0,30,0,0,11,8,13,3,3,0,0,41,0,13,16,8,7,6,0,0,0,51,0,3,15,11,4,0,0,0,0,38,0,3,42,24,17,11,0,0,0,104,0,0,7,15,11,10,4,0,0,48,4,13,51,35,22,15,6,0,0,144,30,47,203,145,109,78,33,7,0,660
POA6701,3,31,82,54,66,65,19,3,3,331,3,9,42,41,69,40,17,0,0,221,3,3,39,30,57,30,9,0,0,166,0,0,26,22,46,27,8,0,0,130,0,3,43,50,50,41,9,0,0,200,0,0,13,19,31,21,7,0,0,92,52,54,139,153,170,134,89,54,19,864,262,302,762,710,848,752,490,210,69,4415
POA6705,0,0,3,3,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3,16,8,19,3,10,5,0,0,0,65,22,24,54,23,29,28,17,3,0,200
