region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
POA6728,22,3,25,900,926,319,210,942,2063,5360
POA6740,4,3,10,232,239,107,187,299,179,1243
POA6743,5,0,9,1082,1201,423,366,1172,629,4873
POA6751,0,0,0,825,947,316,346,1232,799,4465
POA6753,0,4,4,1453,1323,395,352,2316,1775,7614
POA6754,0,0,3,205,323,103,114,230,113,1088
POA6758,0,0,0,15,12,9,3,75,11,125
POA6760,0,0,0,84,66,44,18,114,35,361
POA6762,0,0,0,216,197,49,18,482,126,1088
POA6765,3,3,6,367,258,58,36,316,88,1123
POA6770,4,7,11,678,451,122,132,705,180,2268
POA6907,0,0,0,332,69,0,9,519,37,966
