POA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6317,10,13,7,9,3,0,0,3,0,38,20,7,3,17,7,3,0,3,0,59,44,14,151,41,31,22,23,56,5,394,3,0,3,11,6,3,0,19,0,44,12,0,3,7,5,8,0,5,0,36,0,0,0,0,0,0,0,0,0,3,11,0,7,3,3,7,10,26,3,66,128,201,186,101,66,42,42,123,13,895
POA6318,3,3,0,3,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,12,12,0,22,7,3,0,3,4,0,56,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,8,41,18,26,13,21,4,3,10,3,139
POA6320,9,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,10,14,0,9,6,3,0,3,6,0,47,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,11,39,17,13,19,14,0,10,9,3,111
POA6321,3,0,0,4,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,5,14,0,8,10,3,0,0,5,0,41,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,7,43,12,9,13,9,7,5,12,0,113
POA6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,7,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,10,22,3,8,4,3,0,3,3,0,47
POA6323,4,3,0,0,3,0,0,4,0,13,3,0,3,3,10,0,3,3,0,21,14,3,18,26,5,7,4,14,0,87,0,0,0,0,3,0,0,0,0,6,3,0,0,3,0,3,3,0,0,10,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,15,42,38,25,34,25,11,14,31,0,217
POA6324,25,17,5,14,12,0,0,6,0,79,16,7,3,14,11,5,8,3,3,73,60,9,118,42,38,19,29,46,3,363,4,0,3,7,3,3,0,11,0,35,6,3,7,3,7,4,0,3,0,35,3,0,0,0,3,3,0,3,0,14,13,0,3,4,0,0,0,13,0,38,165,142,147,101,101,44,42,85,11,843
POA6326,4,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,12,3,15,7,0,7,6,9,0,56,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,34,26,16,8,7,8,6,13,0,125
POA6327,3,3,0,0,3,0,0,0,0,13,0,0,0,0,3,0,0,0,0,8,6,0,8,0,0,3,3,5,0,34,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,5,18,6,5,5,3,9,0,72
POA6328,9,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,10,21,0,9,7,6,0,9,3,0,51,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,52,8,9,9,10,3,6,12,0,110
