region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
POA6338,36,518,49,752
POA6341,17,204,13,279
POA6343,14,196,3,238
POA6346,38,432,41,731
POA6348,76,804,127,1394
POA6350,11,117,10,201
POA6352,26,304,16,411
POA6353,48,483,34,728
POA6355,50,566,36,852
POA6358,13,180,12,241
POA6359,33,289,62,528
POA6365,45,428,21,609
POA6367,22,181,25,280
POA6368,10,145,9,185
POA6369,19,388,51,624
POA6370,36,366,53,557
POA6373,9,193,3,240
POA6375,42,574,42,834
POA6383,50,747,43,1049
POA6386,13,180,20,246
POA6390,120,1082,405,2217
POA6391,58,666,48,913
POA6392,20,351,23,490
POA6393,25,260,25,378
POA6394,19,303,11,399
POA6395,90,972,80,1565
POA6396,17,200,30,342
POA6397,15,174,107,362
POA6398,44,307,33,560
POA6401,399,4387,830,7606
POA6403,25,127,3,203
POA6405,21,179,7,260
POA6407,63,648,80,1039
POA6409,19,273,30,400
POA6410,56,804,67,1178
POA6413,9,92,12,151
POA6415,154,1742,207,2896
POA6418,30,465,52,720
POA6421,26,146,18,243
POA6423,22,162,15,273
POA6425,10,98,3,161
POA6426,70,614,100,1095
POA6429,46,862,248,1515
POA6430,1107,11435,2841,23003
POA6431,5,615,25,673
POA6432,320,3996,1281,7724
POA6434,0,143,3,149
POA6436,3,142,17,186
POA6437,65,552,220,1291
POA6438,36,468,461,1219
POA6440,42,587,140,1093
POA6442,146,1279,344,2703
POA6443,46,569,186,1133
POA6445,13,117,0,160
POA6447,16,351,52,494
POA6448,16,309,33,451
POA6450,666,7733,999,12367
POA6460,63,696,60,986
POA6461,28,239,25,371
POA6462,12,250,8,305
POA6468,17,131,6,201
POA6472,8,137,3,185
POA6475,33,294,13,434
POA6477,14,204,9,291
POA6479,41,349,11,496
POA6484,19,144,95,384
POA6485,23,332,56,527
POA6488,16,214,16,346
POA6490,5,151,28,227
POA6501,69,572,52,1015
POA6502,54,598,77,1062
POA6503,141,1076,162,2048
POA6505,15,177,30,282
POA6507,18,262,11,405
POA6509,8,215,17,316
POA6510,99,1353,148,2046
POA6511,26,271,28,454
POA6513,5,139,8,186
POA6514,28,364,48,609
POA6515,31,339,12,447
POA6516,77,914,132,1502
POA6517,14,289,34,429
POA6518,3,71,18,118
POA6519,35,387,48,617
POA6521,33,204,16,336
POA6522,35,344,29,483
POA6525,213,2203,218,3557
POA6528,11,207,22,287
POA6530,1628,19977,2427,31965
POA6532,294,3599,602,5784
POA6535,63,991,113,1478
POA6536,94,863,102,1496
POA6537,31,371,25,638
POA6556,134,896,93,1857
POA6558,62,358,1460,2176
POA6560,63,654,117,1276
POA6562,71,601,77,1146
POA6564,20,173,24,333
POA6566,186,1577,290,3088
POA6567,30,187,11,376
POA6568,18,172,13,239
POA6569,23,189,31,332
POA6575,11,181,3,241
POA6603,45,790,79,1134
POA6606,16,213,15,304
POA6608,13,184,7,260
POA6609,39,360,19,557
POA6612,12,163,10,235
POA6620,19,116,8,184
POA6623,82,989,153,1620
POA6628,8,141,3,188
POA6630,11,361,73,531
POA6635,20,285,87,519
POA6638,31,406,89,645
POA6639,6,54,18,110
POA6640,16,152,51,270
POA6642,56,779,273,1385
POA6646,48,589,147,1161
POA6701,243,3180,790,5787
POA6705,7,186,25,242
POA6707,164,1353,199,2389
POA6710,101,1006,493,2375
POA6713,71,617,221,1262
POA6714,864,7665,4083,18275
POA6716,46,334,41,652
POA6718,3,596,98,808
POA6720,102,1279,611,2549
POA6721,219,2219,1160,5190
POA6722,485,4898,2386,10549
POA6725,377,6110,1234,9856
POA6726,285,2940,648,5159
POA6728,120,3952,2133,6890
POA6740,35,1347,195,1756
POA6743,276,4044,729,6343
POA6751,309,2805,852,5464
POA6753,408,3913,1942,9085
POA6754,82,842,143,1501
POA6758,3,140,8,181
POA6760,5,430,35,508
POA6762,56,629,117,1175
POA6765,25,1242,89,1513
POA6770,26,2832,139,3263
POA6907,63,298,48,984
