POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA6038,576,883,204,21,1684,305,50,2033,15,13,14,3,47,29,4,71,0,0,0,0,0,0,0,0,15,13,14,3,47,25,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,8,589,897,223,19,1729,330,47,2110
POA6041,213,147,40,4,404,109,15,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,5,0,0,0,0,3,0,0,3,223,148,40,4,411,113,15,538
POA6042,11,0,3,0,14,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,17,14,0,29
POA6043,27,15,5,0,45,23,0,72,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,5,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,33,19,8,0,55,37,0,90
POA6044,167,82,29,0,281,124,18,426,9,3,3,0,17,8,0,26,0,0,0,0,0,0,0,0,9,3,3,0,16,8,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,0,0,7,4,0,14,0,0,0,0,0,0,0,0,8,3,0,0,9,10,0,19,3,0,0,0,3,9,0,9,184,92,32,0,311,147,25,487
POA6050,882,1438,239,45,2596,536,176,3312,170,55,20,3,251,309,38,598,191,78,48,5,318,169,58,543,362,130,70,9,571,479,92,1140,113,37,28,6,184,275,50,503,93,12,20,3,134,240,33,411,113,14,4,4,138,223,29,386,0,0,0,0,3,0,0,0,331,61,57,12,457,734,110,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,3,0,5,3,4,14,0,4,3,0,5,6,5,20,0,0,0,0,3,3,0,6,1568,1634,360,72,3634,1761,376,5776
POA6051,571,542,144,22,1267,361,114,1742,176,81,61,7,316,250,47,614,353,203,92,25,677,515,148,1334,531,283,151,28,996,764,193,1948,214,100,50,13,374,517,71,965,119,34,17,12,179,238,31,454,121,63,16,12,204,267,39,514,0,0,0,0,0,0,0,3,456,195,80,30,762,1021,143,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,8,3,0,0,11,10,3,18,1555,1021,372,82,3034,2157,454,5645
POA6052,793,1205,360,42,2393,607,153,3154,106,74,38,6,221,180,22,425,54,43,11,3,111,65,14,201,160,121,51,11,333,248,39,622,59,18,18,3,103,104,12,223,56,7,5,3,68,110,15,197,5,0,0,0,5,84,0,85,0,0,0,0,0,0,0,0,119,25,23,5,173,296,33,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,0,0,0,3,0,0,6,1069,1352,434,58,2912,1155,226,4295
POA6053,1292,1486,409,77,3266,892,231,4387,188,98,72,11,364,508,39,910,28,30,6,4,71,24,7,97,214,125,75,15,428,526,47,1012,23,11,6,0,47,64,11,119,12,20,5,3,40,34,6,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,14,6,90,96,13,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,0,3,0,4,0,0,8,4,0,11,1546,1647,501,95,3791,1522,297,5612
POA6054,1599,2017,803,97,4515,1430,235,6182,217,159,150,15,540,522,55,1118,48,46,24,3,116,57,8,187,265,199,175,20,663,574,62,1302,32,19,23,0,67,127,10,207,5,0,3,0,12,19,0,31,8,0,0,0,12,19,0,34,0,0,0,0,0,0,0,0,49,22,20,0,86,170,10,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,3,3,0,4,6,0,3,0,11,6,0,16,1915,2239,1010,117,5283,2178,311,7776
POA6055,1791,2525,544,77,4931,947,154,6036,204,191,82,9,488,189,34,712,10,6,8,0,24,15,0,34,214,195,97,9,508,199,39,746,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,33,5,3,0,37,70,0,110,11,3,0,0,15,30,3,44,0,0,0,0,0,0,0,0,3,4,0,0,9,0,0,11,49,7,3,0,61,96,4,159,5,9,0,4,12,6,0,20,2058,2730,649,83,5525,1256,202,6980
POA6056,3146,3842,1639,162,8785,2540,376,11703,355,256,262,46,914,958,79,1955,87,79,53,10,232,143,25,401,442,335,319,53,1150,1098,108,2355,27,3,10,0,38,73,6,118,39,15,17,7,72,91,12,171,3,0,3,0,10,10,3,24,0,0,0,0,0,0,0,0,73,14,24,8,119,171,21,311,20,0,0,0,19,33,3,51,3,0,0,0,3,7,0,12,0,0,0,0,0,0,0,0,7,3,3,0,14,7,0,17,23,6,4,0,36,41,8,86,4,8,8,0,24,18,0,44,3694,4211,1991,218,10110,3874,508,14495
POA6057,1648,2006,725,62,4445,1115,173,5730,29,26,22,0,79,68,6,150,0,0,0,0,0,4,0,5,30,26,22,0,76,73,6,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,5,0,0,0,3,0,0,9,1685,2035,746,62,4529,1188,182,5895
POA6058,1176,1400,545,61,3186,819,133,4137,106,33,32,5,181,265,13,463,4,3,0,0,3,3,0,9,111,41,32,5,185,271,12,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,18,41,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,18,41,3,59,0,3,0,0,3,0,3,8,1297,1444,584,67,3392,1134,152,4674
POA6059,1777,2447,600,78,4907,1179,198,6285,468,337,234,36,1071,996,93,2161,51,50,10,0,120,46,6,171,522,383,245,36,1191,1046,103,2331,47,19,10,6,85,191,8,292,8,3,0,0,6,23,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,21,10,6,93,217,8,320,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,3,3,0,5,0,3,3,0,7,6,3,11,2353,2860,866,120,6196,2456,313,8966
POA6060,996,996,329,45,2360,813,178,3354,1098,611,333,59,2102,1884,247,4233,324,293,82,30,729,338,66,1130,1421,904,415,85,2826,2225,312,5358,297,149,112,14,574,729,78,1377,34,14,4,0,45,61,8,108,3,3,0,0,5,20,3,26,0,0,0,0,0,0,0,0,331,160,117,14,626,807,84,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,14,3,0,23,8,3,31,2761,2074,864,143,5838,3853,576,10268
POA6061,1560,2216,1097,171,5045,1554,350,6948,1452,1432,693,144,3727,2153,366,6238,178,151,91,13,429,184,54,666,1630,1586,785,154,4156,2340,414,6907,46,14,21,0,78,86,20,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,14,21,0,85,88,20,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,6,0,28,10,3,51,3243,3827,1904,332,9310,3991,790,14100
POA6062,2852,3416,1061,157,7485,1928,439,9852,428,343,215,27,1012,613,103,1724,48,43,25,0,115,81,9,204,472,385,246,27,1126,691,109,1933,5,3,8,0,15,28,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,18,28,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,5,9,11,3,0,26,8,3,33,3342,3808,1317,192,8661,2655,550,11867
POA6063,890,1816,568,75,3356,639,121,4120,59,61,59,0,182,124,6,320,3,0,0,0,3,9,0,18,56,64,63,0,190,136,10,333,3,0,3,0,8,31,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,29,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,955,1884,633,76,3555,809,131,4499
POA6064,1943,3580,1358,149,7034,1490,293,8812,203,208,170,14,593,611,51,1254,32,42,38,3,115,76,17,205,228,246,212,23,709,689,68,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,5,2170,3830,1574,176,7747,2179,357,10287
POA6065,4492,8872,1690,179,15229,2303,409,17936,517,436,255,23,1233,677,55,1964,26,57,21,0,105,22,3,131,548,494,275,23,1338,698,60,2098,0,0,0,0,3,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,3,13,5,0,3,0,15,45,0,61,10,0,3,0,18,50,0,74,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,4,23,4,6,0,38,104,0,137,3,3,0,0,13,6,0,20,5067,9375,1977,204,16615,3114,467,20201
POA6066,1325,2561,828,67,4780,769,142,5688,64,38,37,5,155,132,11,297,7,0,7,0,14,23,0,38,77,41,42,5,169,152,11,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1399,2597,872,80,4951,918,152,6022
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6068,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6069,2737,5255,1344,78,9422,1268,219,10915,433,228,182,16,864,474,42,1378,53,37,13,0,96,61,9,164,485,265,198,15,959,533,48,1546,3,3,3,0,12,6,0,21,20,13,16,3,53,28,11,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,18,3,64,39,11,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,7,4,3,0,0,6,5,0,14,3251,5544,1565,99,10458,1851,278,12588
POA6070,414,514,114,7,1047,201,19,1262,4,0,0,0,3,9,0,10,0,0,0,0,0,0,0,0,4,0,0,0,3,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,519,116,7,1057,209,19,1283
POA6071,382,480,101,7,972,189,15,1175,0,0,0,0,4,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,390,486,104,7,982,199,15,1198
POA6072,101,105,21,0,229,44,4,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,21,0,228,44,4,278
POA6073,360,356,94,5,818,202,22,1047,16,0,6,0,14,70,0,83,0,0,0,0,0,0,0,0,16,0,6,0,14,70,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,3,3,0,0,3,3,0,6,376,358,97,5,841,287,22,1151
POA6074,119,124,31,3,283,51,5,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,124,37,3,280,55,5,341
POA6076,2445,2731,634,50,5859,1255,109,7223,86,11,16,7,121,209,8,338,12,3,7,0,15,17,0,32,91,18,20,7,137,227,7,375,8,0,0,0,7,37,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,37,0,50,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,3,0,0,8,0,0,9,4,16,3,0,26,3,0,27,13,15,3,0,32,5,0,37,7,7,4,0,18,10,0,26,2565,2770,657,55,6056,1539,115,7711
POA6077,158,183,28,3,375,105,8,489,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,187,28,3,376,106,8,494
POA6078,86,119,17,3,229,37,16,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,119,17,3,234,32,16,281
POA6079,7,3,0,0,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,8,3,0,11
POA6081,500,666,136,9,1313,207,19,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,6,500,670,136,9,1317,212,19,1546
POA6082,338,418,120,7,884,181,16,1079,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,421,122,9,895,184,16,1093
POA6083,426,454,71,11,963,167,16,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,9,8,0,0,12,11,0,20,0,0,0,0,0,0,0,0,7,6,0,0,12,9,0,25,3,0,0,0,7,4,0,9,437,461,74,11,983,177,16,1177
POA6084,825,1057,225,12,2117,330,53,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,8,0,0,25,3,0,28,0,0,0,0,0,0,0,0,11,8,0,0,25,0,3,32,4,4,0,0,6,3,0,14,847,1071,227,12,2154,340,57,2550
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6100,771,771,204,48,1802,579,212,2591,188,156,46,22,418,253,60,729,309,188,61,39,596,306,140,1041,498,351,111,62,1015,555,204,1778,51,29,3,6,99,103,23,224,75,44,9,7,139,127,19,281,348,114,41,21,522,383,85,989,0,0,0,0,0,0,0,0,471,193,61,31,755,615,123,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,3,0,0,0,4,0,0,4,5,0,0,0,7,4,0,13,1751,1317,375,146,3586,1759,533,5878
POA6101,1118,1153,364,93,2728,953,355,4035,350,232,127,39,746,546,129,1419,54,31,8,6,95,34,26,154,398,260,137,49,837,573,159,1569,128,70,30,9,244,150,36,426,80,17,4,15,116,103,28,243,18,5,0,0,24,28,0,51,0,0,0,0,0,0,0,0,233,88,39,28,386,284,59,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,14,0,3,0,0,5,7,3,12,8,0,4,0,10,8,7,31,1757,1508,545,166,3969,1826,578,6367
POA6102,562,542,222,68,1396,601,311,2306,313,219,107,71,713,543,269,1528,55,42,16,15,119,143,108,366,366,262,125,87,832,682,375,1888,50,25,7,3,79,206,14,306,17,11,0,0,28,55,4,86,19,3,9,3,33,174,3,207,0,0,0,0,0,0,0,0,80,36,16,11,136,430,28,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,12,13,3,35,1016,843,355,168,2382,1733,712,4829
POA6103,486,507,195,37,1230,471,132,1821,115,100,48,16,279,273,33,592,124,80,22,15,242,93,65,394,240,187,75,26,525,369,97,991,42,19,22,0,79,94,10,186,107,28,14,6,154,217,61,434,255,46,11,24,340,256,47,635,0,0,0,0,0,0,0,0,402,97,50,32,573,564,118,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,12,1121,791,320,94,2329,1402,350,4080
POA6104,1064,1167,428,88,2744,949,281,3976,128,88,65,9,297,319,38,658,131,62,34,7,231,110,39,390,264,154,104,16,537,432,81,1041,30,8,3,0,44,57,4,102,0,0,3,0,7,0,3,11,19,4,0,0,23,24,3,46,0,0,0,0,0,0,0,0,47,17,10,0,73,79,7,159,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,0,0,3,5,3,13,9,6,0,0,12,7,0,20,1381,1339,539,104,3367,1473,375,5216
