region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6052,2569,2774,5343,208,250,458,48,47,95,42,36,78,36,38,74,26,17,43,1111,1250,2361,6,6,12,5,7,12,3,7,10,4,0,4,1281,1408,2689,371,376,747,12,15,27,1872,2049,3921,283,241,524,4724,5064,9788
POA6053,3199,3412,6611,314,374,688,66,61,127,80,53,133,26,28,54,33,29,62,1404,1548,2952,9,10,19,15,11,26,5,9,14,0,0,0,1638,1749,3387,528,461,989,21,8,29,2501,2592,5093,516,418,934,6216,6422,12638
POA6054,5360,5453,10813,460,504,964,64,61,125,66,65,131,49,50,99,32,39,71,1944,2055,3999,19,6,25,11,8,19,5,6,11,0,0,0,2190,2290,4480,546,499,1045,52,39,91,3248,3332,6580,551,462,1013,9159,9247,18406
POA6055,3233,3188,6421,179,189,368,38,31,69,35,34,69,42,34,76,19,10,29,1319,1283,2602,12,9,21,14,14,28,4,3,7,0,0,0,1483,1418,2901,244,230,474,43,50,93,1949,1887,3836,383,567,950,5565,5642,11207
POA6056,9488,9690,19178,738,820,1558,112,99,211,117,104,221,96,108,204,43,30,73,4236,4360,8596,24,18,42,29,26,55,10,12,22,0,0,0,4667,4757,9424,792,819,1611,101,95,196,6298,6491,12789,1469,1318,2787,17255,17499,34754
POA6057,4314,4208,8522,466,467,933,32,28,60,27,35,62,54,45,99,14,10,24,1758,1854,3612,11,14,25,12,10,22,4,3,7,3,0,3,1915,1999,3914,310,309,619,39,16,55,2730,2791,5521,528,422,950,7572,7421,14993
POA6058,3059,3159,6218,399,436,835,44,31,75,38,34,72,39,28,67,18,15,33,1051,1230,2281,16,15,31,6,5,11,4,5,9,0,0,0,1216,1363,2579,296,280,576,31,42,73,1942,2121,4063,377,333,710,5378,5613,10991
POA6059,6144,6879,13023,568,615,1183,89,60,149,61,64,125,43,36,79,23,24,47,1911,2092,4003,10,4,14,14,13,27,9,5,14,0,0,0,2160,2298,4458,808,794,1602,25,25,50,3561,3732,7293,549,477,1026,10254,11088,21342
POA6060,4188,4902,9090,423,455,878,128,94,222,123,99,222,49,53,102,64,31,95,2649,2925,5574,17,16,33,8,11,19,3,7,10,0,0,0,3041,3236,6277,1367,1313,2680,65,59,124,4896,5063,9959,885,678,1563,9969,10643,20612
POA6061,6893,7144,14037,778,842,1620,177,135,312,127,111,238,99,64,163,68,47,115,3529,3621,7150,35,31,66,20,28,48,14,10,24,0,0,0,4069,4047,8116,2021,1980,4001,109,78,187,6977,6947,13924,1564,1393,2957,15434,15484,30918
