POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6620,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,14,15,9,12,6,4,3,59,11,18,110,75,89,80,25,14,3,427
POA6623,0,0,0,0,0,4,3,11,0,23,0,0,0,0,0,0,0,0,0,0,0,3,10,4,16,19,7,10,5,74,23,29,67,68,83,111,42,42,15,485
POA6625,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,4,0,9,10,14,3,3,0,3,38
POA6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,9,4,8,0,0,47
POA6628,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,15,3,0,0,0,26
POA6630,0,0,0,0,5,15,7,9,3,42,0,0,0,0,0,0,0,0,0,0,0,3,16,13,28,12,8,10,3,93,11,27,80,68,118,84,41,29,7,474
POA6631,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,7,6,3,0,22
POA6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,6,12,8,0,3,3,0,38
POA6635,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,7,3,7,15,8,16,15,0,0,0,75,19,30,72,46,70,50,12,3,0,296
POA6638,0,0,0,4,0,9,8,3,0,14,0,0,0,0,0,0,0,0,0,3,7,7,18,20,20,23,24,0,0,109,15,21,60,65,69,78,69,12,3,384
