POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6012,2010,5653,289,485,231,451,524,936,74,118,328,447,371,604,0,0,776,1175,0,0,0,0,0,0,0,0,0,3,0,3,3312,7768,502,..,3805,7768
POA6014,4831,14089,414,786,508,1088,927,1874,486,845,1029,1875,281,414,3,0,1800,3139,0,0,0,0,0,0,5,7,5,7,8,17,7573,19132,864,..,8432,19132
POA6015,1900,5688,34,62,72,179,111,240,209,295,0,0,0,0,0,0,209,295,0,0,0,0,0,0,3,5,3,5,4,4,2221,6228,231,..,2453,6228
POA6016,2258,6170,371,757,410,898,786,1653,428,913,140,267,140,273,0,0,709,1450,0,3,0,0,0,0,16,31,16,38,5,24,3770,9336,451,..,4222,9336
POA6017,310,741,1009,1928,148,316,1158,2239,321,508,132,245,0,0,0,0,453,752,0,0,0,0,0,0,0,0,0,0,6,9,1921,3741,341,..,2257,3741
POA6018,9233,25185,2934,5626,1286,3038,4217,8669,630,925,85,162,53,56,0,0,773,1145,31,47,0,0,0,0,0,0,33,45,19,48,14278,35095,1573,..,15850,35095
POA6019,3956,10331,2482,4614,1400,3122,3883,7739,534,827,164,236,244,481,0,0,948,1547,0,0,0,0,0,0,4,8,4,8,34,83,8826,19703,1459,..,10283,19703
POA6020,5901,16808,749,1439,516,1118,1262,2562,199,261,90,111,0,0,0,0,286,368,0,0,0,4,0,0,0,0,0,4,16,28,7465,19766,769,..,8236,19766
POA6021,5014,13627,2246,4459,236,601,2481,5062,30,41,0,0,0,0,0,0,25,46,0,0,0,0,0,0,0,6,0,6,10,11,7536,18760,799,..,8331,18760
POA6022,1699,4398,168,348,4,8,171,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,4761,175,..,2049,4761
