POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6306,..,116,116,142,5,147,42,0,43,47,0,47,23,0,23,3,0,3,261,127,386
POA6308,..,177,177,256,9,264,68,0,74,50,0,57,33,0,35,21,0,21,427,185,614
POA6309,..,31,31,41,0,44,7,0,7,3,0,3,4,0,4,3,0,3,66,35,100
POA6311,..,53,53,89,4,92,24,0,24,23,0,23,11,0,11,8,0,8,150,60,211
POA6312,..,529,529,559,37,593,229,6,236,209,0,209,98,0,98,63,0,63,1157,568,1729
POA6313,..,19,19,44,4,47,11,0,11,13,0,13,4,0,4,3,0,3,77,28,101
POA6315,..,243,243,315,17,329,59,3,60,72,0,72,51,0,51,18,0,18,510,260,770
POA6316,..,38,38,51,3,49,15,0,15,13,0,13,13,0,13,0,0,0,92,37,130
POA6317,..,389,389,473,40,519,169,11,183,158,3,164,79,0,81,73,4,71,957,452,1410
POA6318,..,42,42,63,0,67,19,0,20,22,0,22,20,0,20,5,0,5,124,44,175
POA6320,..,44,44,72,3,73,15,0,15,19,0,19,22,0,22,16,0,16,143,42,186
POA6321,..,51,51,69,0,76,16,0,16,23,0,25,13,0,13,4,0,4,132,53,181
POA6322,..,20,20,49,0,51,6,0,6,8,0,8,5,0,5,0,0,0,68,17,89
POA6323,..,109,109,183,3,186,50,0,51,33,0,33,14,0,14,14,0,14,291,115,407
POA6324,..,351,351,473,14,490,152,3,156,150,4,153,82,0,79,36,3,39,889,376,1264
POA6326,..,32,32,70,0,70,23,0,23,28,0,28,8,0,8,5,0,5,134,32,172
POA6327,..,18,18,34,0,41,13,0,13,11,0,11,12,0,12,4,0,4,72,17,94
POA6328,..,38,38,59,0,61,23,0,23,23,0,23,13,0,13,3,0,3,117,37,152
POA6330,..,3633,3633,4666,290,4961,1685,47,1728,1710,14,1723,766,3,772,363,0,363,9185,3985,13176
POA6333,..,600,600,865,44,908,285,6,291,262,0,259,89,0,89,33,0,33,1538,652,2192
POA6335,..,66,66,95,6,98,42,3,40,31,0,31,22,0,22,14,0,14,189,75,266
POA6336,..,37,37,44,4,47,14,0,14,12,0,12,10,0,10,0,0,0,80,45,124
POA6337,..,40,40,72,0,76,28,0,28,26,0,26,20,0,20,3,0,3,144,40,184
POA6338,..,77,77,92,8,97,27,0,27,28,0,28,11,0,11,3,0,3,166,85,253
POA6341,..,29,29,39,0,39,17,0,17,20,0,20,7,0,7,0,0,0,82,29,105
POA6343,..,24,24,17,0,17,15,0,15,9,0,9,7,0,7,0,0,0,58,22,80
