region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6445,19,36,0,0,0,0,0,0,20,72,20,72,0,0,0,0,5,13,5,13,25,85,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,8,3,8,3,11,0,0,47,132
POA6447,41,87,6,14,12,58,0,7,40,176,58,255,5,10,3,8,3,15,11,33,69,288,0,4,3,3,3,4,0,10,6,21,0,0,5,4,0,0,5,4,11,25,0,0,121,400
POA6448,45,90,0,0,3,20,3,13,26,99,32,132,0,0,3,3,6,19,9,22,41,154,0,0,0,5,5,6,5,14,10,25,0,4,3,4,0,0,3,8,13,33,0,0,99,277
POA6450,1329,2577,25,131,141,612,47,213,847,3318,1060,4274,40,165,80,239,211,634,331,1038,1391,5312,6,22,47,176,20,71,221,574,294,843,11,31,36,65,132,277,179,373,473,1216,36,76,3229,9181
POA6460,136,259,0,14,6,30,5,21,77,290,88,355,0,3,5,17,13,33,18,53,106,408,0,0,6,15,3,7,11,46,20,68,0,0,0,0,7,7,7,7,27,75,4,9,273,751
POA6461,60,118,0,0,0,7,0,3,30,108,30,118,0,0,3,4,3,6,6,10,36,128,0,0,0,0,0,0,7,22,7,22,0,0,0,0,5,10,5,10,12,32,0,3,108,281
POA6462,46,93,0,0,0,0,0,0,28,132,28,132,3,8,3,4,9,23,15,35,43,167,0,0,0,3,0,0,3,3,3,6,0,0,0,0,0,3,0,3,3,9,0,0,92,269
POA6468,21,44,3,21,3,7,0,0,19,64,25,92,0,7,0,3,8,19,8,29,33,121,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,54,174
POA6472,29,51,0,0,0,4,0,0,17,64,17,68,0,6,3,4,3,6,6,16,23,84,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,3,10,0,0,55,145
POA6475,57,102,0,0,0,11,3,4,42,164,45,179,0,0,0,0,4,11,4,11,49,190,0,0,0,3,0,0,5,16,5,19,0,0,3,3,4,14,7,17,12,36,0,0,118,328
