POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6226,78,154,3,13,18,82,3,10,64,266,89,365,9,49,6,24,20,58,38,127,128,498,0,5,0,0,0,0,8,19,9,30,0,3,0,0,7,20,9,22,18,51,0,3,226,704
POA6227,85,160,4,30,14,65,0,5,73,294,93,386,0,3,6,21,8,33,20,55,110,443,0,7,0,0,0,4,7,30,11,37,0,0,0,0,9,19,9,19,18,54,0,0,216,661
POA6228,22,41,0,0,5,21,0,5,11,35,15,61,3,11,0,6,3,7,3,21,19,84,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,7,3,3,43,132
POA6229,28,57,0,0,0,14,0,0,9,26,7,36,0,0,0,0,3,12,3,12,16,51,0,0,0,4,0,0,0,0,3,3,0,0,3,0,0,0,3,0,4,12,0,0,46,112
POA6230,4538,8862,69,397,462,2067,154,682,2608,9980,3291,13123,168,673,354,1111,735,2252,1259,4039,4544,17164,21,107,172,602,89,329,909,2407,1193,3439,58,177,206,436,602,1239,862,1855,2055,5293,131,271,11265,31584
POA6232,1161,2256,28,120,126,557,53,248,781,2998,981,3917,51,212,78,233,197,603,326,1047,1313,4966,8,47,31,115,21,79,206,551,275,788,17,63,44,101,117,240,179,406,454,1197,30,61,2959,8482
POA6233,2034,3953,36,182,250,1100,86,400,1477,5730,1853,7419,85,343,165,518,370,1102,617,1963,2467,9384,11,58,54,192,27,95,319,897,418,1240,23,69,54,112,166,348,234,528,649,1765,46,90,5200,15189
POA6236,258,517,3,22,35,165,10,53,115,473,169,712,12,60,25,65,52,155,87,276,260,996,0,0,3,4,4,9,20,55,28,78,3,19,3,6,27,57,34,77,65,158,6,6,588,1671
POA6237,331,640,0,12,34,156,12,42,162,646,207,859,17,77,20,64,67,208,112,352,320,1215,0,0,8,28,0,4,31,88,41,115,0,0,13,17,27,53,37,71,78,191,5,5,732,2048
POA6239,571,1105,6,51,42,198,18,64,259,1058,324,1370,27,105,22,81,82,243,131,423,459,1794,0,4,6,23,10,31,54,152,67,199,4,14,16,26,35,70,50,116,120,313,16,29,1162,3236
