region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA6720,12,7,19,180,150,330,0,0,0,17,11,28,0,0,0,297,235,532,14,5,19,6,4,10,4,3,7,3,0,3,3,4,7,0,0,0,4,0,4,7,4,11,20,10,30,6,3,9,3,0,3,40,30,70,27,19,46,3,0,3,634,478,1112,3,0,3,3,0,3,3,3,6,13,16,29,0,0,0,13,16,29,408,292,700,15,11,26,466,186,652,1557,993,2550
POA6721,40,34,74,472,320,792,0,0,0,39,39,78,3,0,3,626,471,1097,6,0,6,17,14,31,6,0,6,8,8,16,22,15,37,0,0,0,3,0,3,20,19,39,68,40,108,3,0,3,9,12,21,90,72,162,54,40,94,7,3,10,1453,1053,2506,13,15,28,18,22,40,3,4,7,18,22,40,9,6,15,27,28,55,770,429,1199,34,15,49,854,385,1239,3212,1985,5197
POA6722,60,66,126,652,497,1149,0,0,0,51,60,111,0,0,0,1208,1028,2236,20,36,56,25,20,45,15,14,29,18,28,46,26,21,47,3,0,3,8,13,21,42,55,97,79,66,145,7,5,12,12,13,25,153,118,271,124,126,250,11,14,25,2454,2114,4568,37,26,63,211,154,365,0,0,0,22,27,49,12,13,25,34,40,74,1591,1099,2690,77,23,100,1499,1057,2556,5963,4579,10542
POA6725,46,71,117,553,560,1113,0,0,0,48,49,97,0,0,0,1598,1585,3183,0,5,5,9,3,12,23,22,45,4,3,7,29,27,56,0,3,3,26,33,59,85,101,186,55,63,118,7,7,14,16,6,22,138,140,278,77,127,204,6,8,14,2674,2742,5416,20,12,32,29,18,47,0,0,0,16,16,32,12,10,22,28,26,54,1416,1198,2614,59,29,88,863,625,1488,5135,4721,9856
POA6726,27,44,71,333,365,698,0,0,0,33,51,84,0,0,0,693,819,1512,0,3,3,10,6,16,16,13,29,0,0,0,20,31,51,3,0,3,5,5,10,26,19,45,45,36,81,0,6,6,5,5,10,61,84,145,33,41,74,6,8,14,1289,1492,2781,4,0,4,20,17,37,4,0,4,0,4,4,11,4,15,11,8,19,786,684,1470,28,21,49,371,352,723,2540,2618,5158
POA6728,16,13,29,210,147,357,0,0,0,52,35,87,0,0,0,520,584,1104,29,30,59,0,0,0,3,10,13,0,3,3,3,8,11,0,0,0,402,415,817,68,100,168,32,23,55,0,3,3,21,26,47,160,187,347,91,104,195,3,8,11,1594,1683,3277,3,4,7,13,3,16,0,0,0,10,7,17,0,5,5,10,12,22,543,415,958,35,24,59,1999,528,2527,4213,2682,6895
POA6740,3,4,7,96,116,212,0,0,0,12,4,16,0,0,0,349,382,731,0,3,3,0,3,3,10,3,13,3,3,6,0,0,0,0,0,0,17,21,38,14,16,30,8,12,20,0,0,0,0,0,0,14,25,39,19,19,38,0,0,0,542,607,1149,0,3,3,0,0,0,0,0,0,3,3,6,3,0,3,6,3,9,185,136,321,7,10,17,128,120,248,871,883,1754
POA6743,31,41,72,427,383,810,0,0,0,46,49,95,0,0,0,802,831,1633,0,7,7,6,10,16,6,11,17,6,4,10,31,37,68,0,0,0,59,71,130,48,69,117,63,60,123,4,13,17,3,5,8,96,107,203,88,111,199,8,3,11,1693,1771,3464,4,3,7,10,3,13,3,0,3,3,3,6,14,11,25,17,14,31,1042,805,1847,31,15,46,516,348,864,3347,3000,6347
POA6751,31,24,55,545,341,886,0,0,0,48,52,100,0,5,5,663,363,1026,17,21,38,14,5,19,19,20,39,8,4,12,24,23,47,0,0,0,6,12,18,19,9,28,66,28,94,8,4,12,6,3,9,94,58,152,84,43,127,8,0,8,1629,991,2620,9,4,13,15,7,22,4,0,4,6,7,13,6,10,16,12,17,29,1041,604,1645,40,12,52,777,243,1020,3558,1902,5460
POA6753,65,66,131,776,419,1195,0,0,0,121,94,215,0,0,0,1094,645,1739,8,9,17,29,16,45,3,7,10,8,6,14,28,21,49,3,0,3,5,3,8,43,34,77,107,50,157,7,5,12,64,63,127,155,77,232,112,84,196,15,9,24,2578,1542,4120,21,13,34,41,10,51,4,6,10,45,46,91,24,15,39,69,61,130,1600,732,2332,88,19,107,1569,603,2172,6035,3052,9087
POA6754,6,15,21,167,136,303,0,0,0,16,8,24,0,0,0,177,149,326,4,3,7,0,3,3,0,3,3,3,0,3,5,3,8,0,0,0,3,0,3,9,8,17,14,14,28,0,0,0,3,4,7,20,14,34,15,16,31,0,0,0,436,361,797,3,9,12,5,0,5,0,0,0,0,0,0,4,5,9,4,5,9,270,218,488,14,0,14,100,63,163,838,671,1509
POA6758,0,0,0,7,6,13,0,0,0,7,4,11,0,0,0,4,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,5,5,0,3,3,0,0,0,4,3,7,0,0,0,4,5,9,4,3,7,33,43,76,0,0,0,0,0,0,0,0,0,6,5,11,0,6,6,6,11,17,31,27,58,10,3,13,4,9,13,84,93,177
POA6760,3,0,3,24,17,41,0,0,0,4,20,24,3,0,3,26,30,56,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,6,0,0,0,11,11,22,0,3,3,0,0,0,0,3,3,77,92,169,0,0,0,0,0,0,0,0,0,77,63,140,0,0,0,77,63,140,67,70,137,0,0,0,33,29,62,257,254,511
POA6762,11,0,11,112,19,131,0,0,0,37,25,62,0,0,0,171,33,204,0,3,3,3,0,3,0,0,0,5,0,5,8,0,8,0,0,0,3,3,6,17,5,22,25,0,25,3,0,3,4,9,13,20,3,23,10,6,16,3,0,3,421,106,527,0,0,0,8,0,8,0,0,0,34,30,64,3,0,3,37,30,67,264,74,338,31,4,35,141,47,188,913,261,1174
